Mode,N,D,Phase,RB_Tot_Rot,WAVL_Tot_Rot,RB_Tot_Path,WAVL_Tot_Path
seq,10000,1,Insert,9976,9986,19942,19981
seq,30000,1,Insert,29973,29985,59934,59978
seq,50000,1,Insert,49971,49984,99932,99978
seq,70000,1,Insert,69970,69983,139928,139977
seq,90000,1,Insert,89970,89983,179922,179974
seq,110000,1,Insert,109969,109983,219922,219974
seq,130000,1,Insert,129969,129983,259918,259972
seq,150000,1,Insert,149968,149982,299920,299974
seq,170000,1,Insert,169968,169982,339926,339977
seq,190000,1,Insert,189968,189982,379920,379974
seq,210000,1,Insert,209967,209982,419922,419975
seq,230000,1,Insert,229967,229982,459922,459975
seq,250000,1,Insert,249967,249982,499922,499975
seq,270000,1,Insert,269966,269981,539916,539973
seq,290000,1,Insert,289966,289981,579916,579973
seq,310000,1,Insert,309966,309981,619912,619971
seq,330000,1,Insert,329966,329981,659922,659976
seq,350000,1,Insert,349966,349981,699914,699972
seq,370000,1,Insert,369966,369981,739916,739973
seq,390000,1,Insert,389966,389981,779910,779970
seq,410000,1,Insert,409965,409981,819920,819975
seq,430000,1,Insert,429965,429981,859912,859971
seq,450000,1,Insert,449965,449981,899910,899970
seq,470000,1,Insert,469965,469981,939910,939970
seq,490000,1,Insert,489965,489981,979914,979972
seq,510000,1,Insert,509965,509981,1019916,1019973
seq,530000,1,Insert,529964,529980,1059916,1059974
seq,550000,1,Insert,549964,549980,1099914,1099973
seq,570000,1,Insert,569964,569980,1139914,1139973
seq,590000,1,Insert,589964,589980,1179918,1179975
seq,610000,1,Insert,609964,609980,1219910,1219971
seq,630000,1,Insert,629964,629980,1259908,1259970
seq,650000,1,Insert,649964,649980,1299910,1299971
seq,670000,1,Insert,669964,669980,1339912,1339972
seq,690000,1,Insert,689964,689980,1379912,1379972
seq,710000,1,Insert,709964,709980,1419908,1419970
seq,730000,1,Insert,729964,729980,1459912,1459972
seq,750000,1,Insert,749964,749980,1499908,1499970
seq,770000,1,Insert,769964,769980,1539902,1539967
seq,790000,1,Insert,789963,789980,1579910,1579971
seq,810000,1,Insert,809963,809980,1619914,1619973
seq,830000,1,Insert,829963,829980,1659912,1659972
seq,850000,1,Insert,849963,849980,1699910,1699971
seq,870000,1,Insert,869963,869980,1739910,1739971
seq,890000,1,Insert,889963,889980,1779912,1779972
seq,910000,1,Insert,909963,909980,1819908,1819970
seq,930000,1,Insert,929963,929980,1859912,1859972
seq,950000,1,Insert,949963,949980,1899902,1899967
seq,970000,1,Insert,969963,969980,1939910,1939971
seq,990000,1,Insert,989963,989980,1979908,1979970
reverse,10000,1,Insert,9976,9986,19942,19981
reverse,30000,1,Insert,29973,29985,59934,59978
reverse,50000,1,Insert,49971,49984,99932,99978
reverse,70000,1,Insert,69970,69983,139928,139977
reverse,90000,1,Insert,89970,89983,179922,179974
reverse,110000,1,Insert,109969,109983,219922,219974
reverse,130000,1,Insert,129969,129983,259918,259972
reverse,150000,1,Insert,149968,149982,299920,299974
reverse,170000,1,Insert,169968,169982,339926,339977
reverse,190000,1,Insert,189968,189982,379920,379974
reverse,210000,1,Insert,209967,209982,419922,419975
reverse,230000,1,Insert,229967,229982,459922,459975
reverse,250000,1,Insert,249967,249982,499922,499975
reverse,270000,1,Insert,269966,269981,539916,539973
reverse,290000,1,Insert,289966,289981,579916,579973
reverse,310000,1,Insert,309966,309981,619912,619971
reverse,330000,1,Insert,329966,329981,659922,659976
reverse,350000,1,Insert,349966,349981,699914,699972
reverse,370000,1,Insert,369966,369981,739916,739973
reverse,390000,1,Insert,389966,389981,779910,779970
reverse,410000,1,Insert,409965,409981,819920,819975
reverse,430000,1,Insert,429965,429981,859912,859971
reverse,450000,1,Insert,449965,449981,899910,899970
reverse,470000,1,Insert,469965,469981,939910,939970
reverse,490000,1,Insert,489965,489981,979914,979972
reverse,510000,1,Insert,509965,509981,1019916,1019973
reverse,530000,1,Insert,529964,529980,1059916,1059974
reverse,550000,1,Insert,549964,549980,1099914,1099973
reverse,570000,1,Insert,569964,569980,1139914,1139973
reverse,590000,1,Insert,589964,589980,1179918,1179975
reverse,610000,1,Insert,609964,609980,1219910,1219971
reverse,630000,1,Insert,629964,629980,1259908,1259970
reverse,650000,1,Insert,649964,649980,1299910,1299971
reverse,670000,1,Insert,669964,669980,1339912,1339972
reverse,690000,1,Insert,689964,689980,1379912,1379972
reverse,710000,1,Insert,709964,709980,1419908,1419970
reverse,730000,1,Insert,729964,729980,1459912,1459972
reverse,750000,1,Insert,749964,749980,1499908,1499970
reverse,770000,1,Insert,769964,769980,1539902,1539967
reverse,790000,1,Insert,789963,789980,1579910,1579971
reverse,810000,1,Insert,809963,809980,1619914,1619973
reverse,830000,1,Insert,829963,829980,1659912,1659972
reverse,850000,1,Insert,849963,849980,1699910,1699971
reverse,870000,1,Insert,869963,869980,1739910,1739971
reverse,890000,1,Insert,889963,889980,1779912,1779972
reverse,910000,1,Insert,909963,909980,1819908,1819970
reverse,930000,1,Insert,929963,929980,1859912,1859972
reverse,950000,1,Insert,949963,949980,1899902,1899967
reverse,970000,1,Insert,969963,969980,1939910,1939971
reverse,990000,1,Insert,989963,989980,1979908,1979970
seq_rev,10000,1,Insert,9976,9986,19942,19981
seq_rev,30000,1,Insert,29973,29985,59934,59978
seq_rev,50000,1,Insert,49971,49984,99932,99978
seq_rev,70000,1,Insert,69970,69983,139928,139977
seq_rev,90000,1,Insert,89970,89983,179922,179974
seq_rev,110000,1,Insert,109969,109983,219922,219974
seq_rev,130000,1,Insert,129969,129983,259918,259972
seq_rev,150000,1,Insert,149968,149982,299920,299974
seq_rev,170000,1,Insert,169968,169982,339926,339977
seq_rev,190000,1,Insert,189968,189982,379920,379974
seq_rev,210000,1,Insert,209967,209982,419922,419975
seq_rev,230000,1,Insert,229967,229982,459922,459975
seq_rev,250000,1,Insert,249967,249982,499922,499975
