Mode,N,D,Phase,RB_Tot_Rot,WAVL_Tot_Rot,RB_Tot_Path,WAVL_Tot_Path
seq,1000000,10000,Insert,999963,999980,1999914,1999973
seq,1000000,10000,Delete,5000,4996,10009,4988
seq,1000000,30000,Insert,999963,999980,1999914,1999973
seq,1000000,30000,Delete,15000,14994,30007,14987
seq,1000000,50000,Insert,999963,999980,1999914,1999973
seq,1000000,50000,Delete,25000,24994,50008,24986
seq,1000000,70000,Insert,999963,999980,1999914,1999973
seq,1000000,70000,Delete,35000,34995,70008,34986
seq,1000000,90000,Insert,999963,999980,1999914,1999973
seq,1000000,90000,Delete,45000,44995,90005,44986
seq,1000000,110000,Insert,999963,999980,1999914,1999973
seq,1000000,110000,Delete,55000,54994,110005,54988
seq,1000000,130000,Insert,999963,999980,1999914,1999973
seq,1000000,130000,Delete,65000,64996,130003,64985
seq,1000000,150000,Insert,999963,999980,1999914,1999973
seq,1000000,150000,Delete,75000,74995,150006,74984
seq,1000000,170000,Insert,999963,999980,1999914,1999973
seq,1000000,170000,Delete,85000,84995,170009,84984
seq,1000000,190000,Insert,999963,999980,1999914,1999973
seq,1000000,190000,Delete,95000,94993,190006,94986
seq,1000000,210000,Insert,999963,999980,1999914,1999973
seq,1000000,210000,Delete,105000,104993,210007,104984
seq,1000000,230000,Insert,999963,999980,1999914,1999973
seq,1000000,230000,Delete,115000,114995,230007,114984
seq,1000000,250000,Insert,999963,999980,1999914,1999973
seq,1000000,250000,Delete,125000,124995,250007,124983
seq,1000000,270000,Insert,999963,999980,1999914,1999973
seq,1000000,270000,Delete,134999,134995,270006,134985
seq,1000000,290000,Insert,999963,999980,1999914,1999973
seq,1000000,290000,Delete,144999,144993,290006,144985
seq,1000000,310000,Insert,999963,999980,1999914,1999973
seq,1000000,310000,Delete,154999,154994,310004,154986
seq,1000000,330000,Insert,999963,999980,1999914,1999973
seq,1000000,330000,Delete,164999,164995,330009,164982
seq,1000000,350000,Insert,999963,999980,1999914,1999973
seq,1000000,350000,Delete,174999,174992,350005,174987
seq,1000000,370000,Insert,999963,999980,1999914,1999973
seq,1000000,370000,Delete,184999,184992,370006,184983
seq,1000000,390000,Insert,999963,999980,1999914,1999973
seq,1000000,390000,Delete,194999,194994,390003,194985
seq,1000000,410000,Insert,999963,999980,1999914,1999973
seq,1000000,410000,Delete,204999,204994,410008,204983
seq,1000000,430000,Insert,999963,999980,1999914,1999973
seq,1000000,430000,Delete,214999,214994,430004,214984
seq,1000000,450000,Insert,999963,999980,1999914,1999973
seq,1000000,450000,Delete,224999,224994,450003,224985
seq,1000000,470000,Insert,999963,999980,1999914,1999973
seq,1000000,470000,Delete,234999,234994,470003,234985
seq,1000000,490000,Insert,999963,999980,1999914,1999973
seq,1000000,490000,Delete,244999,244995,490005,244983
seq,1000000,510000,Insert,999963,999980,1999914,1999973
seq,1000000,510000,Delete,254999,254995,510006,254983
seq,1000000,530000,Insert,999963,999980,1999914,1999973
seq,1000000,530000,Delete,264999,264994,530006,264983
seq,1000000,550000,Insert,999963,999980,1999914,1999973
seq,1000000,550000,Delete,274999,274994,550005,274983
seq,1000000,570000,Insert,999963,999980,1999914,1999973
seq,1000000,570000,Delete,284999,284993,570005,284983
seq,1000000,590000,Insert,999963,999980,1999914,1999973
seq,1000000,590000,Delete,294999,294995,590007,294983
seq,1000000,610000,Insert,999963,999980,1999914,1999973
seq,1000000,610000,Delete,304999,304993,610003,304983
seq,1000000,630000,Insert,999963,999980,1999914,1999973
seq,1000000,630000,Delete,314999,314993,630002,314984
seq,1000000,650000,Insert,999963,999980,1999914,1999973
seq,1000000,650000,Delete,324999,324994,650003,324984
seq,1000000,670000,Insert,999963,999980,1999914,1999973
seq,1000000,670000,Delete,334998,334993,670004,334983
seq,1000000,690000,Insert,999963,999980,1999914,1999973
seq,1000000,690000,Delete,344998,344993,690004,344982
seq,1000000,710000,Insert,999963,999980,1999914,1999973
seq,1000000,710000,Delete,354998,354992,710002,354987
seq,1000000,730000,Insert,999963,999980,1999914,1999973
seq,1000000,730000,Delete,364998,364993,730004,364983
seq,1000000,750000,Insert,999963,999980,1999914,1999973
seq,1000000,750000,Delete,374998,374993,750002,374985
seq,1000000,770000,Insert,999963,999980,1999914,1999973
seq,1000000,770000,Delete,384998,384995,769999,384983
seq,1000000,790000,Insert,999963,999980,1999914,1999973
seq,1000000,790000,Delete,394998,394995,790001,394983
seq,1000000,810000,Insert,999963,999980,1999914,1999973
seq,1000000,810000,Delete,404998,404994,810003,404983
seq,1000000,830000,Insert,999963,999980,1999914,1999973
seq,1000000,830000,Delete,414997,414992,830003,414982
seq,1000000,850000,Insert,999963,999980,1999914,1999973
seq,1000000,850000,Delete,424997,424994,850002,424982
seq,1000000,870000,Insert,999963,999980,1999914,1999973
seq,1000000,870000,Delete,434997,434992,870001,434983
seq,1000000,890000,Insert,999963,999980,1999914,1999973
seq,1000000,890000,Delete,444997,444992,890002,444982
seq,1000000,910000,Insert,999963,999980,1999914,1999973
seq,1000000,910000,Delete,454997,454991,910000,454986
seq,1000000,930000,Insert,999963,999980,1999914,1999973
seq,1000000,930000,Delete,464996,464991,930000,464985
seq,1000000,950000,Insert,999963,999980,1999914,1999973
seq,1000000,950000,Delete,474996,474994,949995,474984
seq,1000000,970000,Insert,999963,999980,1999914,1999973
seq,1000000,970000,Delete,484995,484991,969998,484983
seq,1000000,990000,Insert,999963,999980,1999914,1999973
seq,1000000,990000,Delete,494993,494989,989995,494987
reverse,1000000,10000,Insert,999963,999980,1999914,1999973
reverse,1000000,10000,Delete,5000,4996,10009,4988
reverse,1000000,30000,Insert,999963,999980,1999914,1999973
reverse,1000000,30000,Delete,15000,14994,30007,14987
reverse,1000000,50000,Insert,999963,999980,1999914,1999973
reverse,1000000,50000,Delete,25000,24994,50008,24986
reverse,1000000,70000,Insert,999963,999980,1999914,1999973
reverse,1000000,70000,Delete,35000,34995,70008,34986
reverse,1000000,90000,Insert,999963,999980,1999914,1999973
reverse,1000000,90000,Delete,45000,44995,90005,44986
reverse,1000000,110000,Insert,999963,999980,1999914,1999973
reverse,1000000,110000,Delete,55000,54994,110005,54988
reverse,1000000,130000,Insert,999963,999980,1999914,1999973
reverse,1000000,130000,Delete,65000,64996,130003,64985
reverse,1000000,150000,Insert,999963,999980,1999914,1999973
reverse,1000000,150000,Delete,75000,74995,150006,74984
reverse,1000000,170000,Insert,999963,999980,1999914,1999973
reverse,1000000,170000,Delete,85000,84995,170009,84984
reverse,1000000,190000,Insert,999963,999980,1999914,1999973
reverse,1000000,190000,Delete,95000,94993,190006,94986
reverse,1000000,210000,Insert,999963,999980,1999914,1999973
reverse,1000000,210000,Delete,105000,104993,210007,104984
reverse,1000000,230000,Insert,999963,999980,1999914,1999973
reverse,1000000,230000,Delete,115000,114995,230007,114984
reverse,1000000,250000,Insert,999963,999980,1999914,1999973
reverse,1000000,250000,Delete,125000,124995,250007,124983
reverse,1000000,270000,Insert,999963,999980,1999914,1999973
reverse,1000000,270000,Delete,134999,134995,270006,134985
reverse,1000000,290000,Insert,999963,999980,1999914,1999973
