Run,Phase,Tree,Metric,Value
1,Insert,RB Tree,Rotations,587126
1,Insert,WAVL Tree,Rotations,703379
1,Insert,RB Tree,Path,1030418
1,Insert,WAVL Tree,Path,1791565
1,Delete,RB Tree,Rotations,183675
1,Delete,WAVL Tree,Rotations,224177
1,Delete,RB Tree,Path,616867
1,Delete,WAVL Tree,Path,922749
2,Insert,RB Tree,Rotations,588463
2,Insert,WAVL Tree,Rotations,704329
2,Insert,RB Tree,Path,1030894
2,Insert,WAVL Tree,Path,1791851
2,Delete,RB Tree,Rotations,184794
2,Delete,WAVL Tree,Rotations,224622
2,Delete,RB Tree,Path,618044
2,Delete,WAVL Tree,Path,922005
3,Insert,RB Tree,Rotations,588701
3,Insert,WAVL Tree,Rotations,704571
3,Insert,RB Tree,Path,1030442
3,Insert,WAVL Tree,Path,1791897
3,Delete,RB Tree,Rotations,184738
3,Delete,WAVL Tree,Rotations,224022
3,Delete,RB Tree,Path,617626
3,Delete,WAVL Tree,Path,922451
4,Insert,RB Tree,Rotations,589017
4,Insert,WAVL Tree,Rotations,704484
4,Insert,RB Tree,Path,1031310
4,Insert,WAVL Tree,Path,1791777
4,Delete,RB Tree,Rotations,183837
4,Delete,WAVL Tree,Rotations,224272
4,Delete,RB Tree,Path,617723
4,Delete,WAVL Tree,Path,922574
5,Insert,RB Tree,Rotations,587761
5,Insert,WAVL Tree,Rotations,703821
5,Insert,RB Tree,Path,1030278
5,Insert,WAVL Tree,Path,1791190
5,Delete,RB Tree,Rotations,184818
5,Delete,WAVL Tree,Rotations,224472
5,Delete,RB Tree,Path,617715
5,Delete,WAVL Tree,Path,921233
6,Insert,RB Tree,Rotations,587919
6,Insert,WAVL Tree,Rotations,703643
6,Insert,RB Tree,Path,1030570
6,Insert,WAVL Tree,Path,1791131
6,Delete,RB Tree,Rotations,184373
6,Delete,WAVL Tree,Rotations,224088
6,Delete,RB Tree,Path,617851
6,Delete,WAVL Tree,Path,922383
7,Insert,RB Tree,Rotations,588825
7,Insert,WAVL Tree,Rotations,703538
7,Insert,RB Tree,Path,1030532
7,Insert,WAVL Tree,Path,1791460
7,Delete,RB Tree,Rotations,183921
7,Delete,WAVL Tree,Rotations,224231
7,Delete,RB Tree,Path,617397
7,Delete,WAVL Tree,Path,923055
8,Insert,RB Tree,Rotations,587377
8,Insert,WAVL Tree,Rotations,701919
8,Insert,RB Tree,Path,1031006
8,Insert,WAVL Tree,Path,1790452
8,Delete,RB Tree,Rotations,184460
8,Delete,WAVL Tree,Rotations,223658
8,Delete,RB Tree,Path,618085
8,Delete,WAVL Tree,Path,923115
9,Insert,RB Tree,Rotations,587137
9,Insert,WAVL Tree,Rotations,704007
9,Insert,RB Tree,Path,1029710
9,Insert,WAVL Tree,Path,1791084
9,Delete,RB Tree,Rotations,184183
9,Delete,WAVL Tree,Rotations,223518
9,Delete,RB Tree,Path,617227
9,Delete,WAVL Tree,Path,921884
10,Insert,RB Tree,Rotations,587774
10,Insert,WAVL Tree,Rotations,703001
10,Insert,RB Tree,Path,1030698
10,Insert,WAVL Tree,Path,1790729
10,Delete,RB Tree,Rotations,184747
10,Delete,WAVL Tree,Rotations,224207
10,Delete,RB Tree,Path,617936
10,Delete,WAVL Tree,Path,922312
11,Insert,RB Tree,Rotations,588825
11,Insert,WAVL Tree,Rotations,704425
11,Insert,RB Tree,Path,1031158
11,Insert,WAVL Tree,Path,1792380
11,Delete,RB Tree,Rotations,184605
11,Delete,WAVL Tree,Rotations,224792
11,Delete,RB Tree,Path,617950
11,Delete,WAVL Tree,Path,923014
12,Insert,RB Tree,Rotations,587621
12,Insert,WAVL Tree,Rotations,703531
12,Insert,RB Tree,Path,1031470
12,Insert,WAVL Tree,Path,1790895
12,Delete,RB Tree,Rotations,184817
12,Delete,WAVL Tree,Rotations,223371
12,Delete,RB Tree,Path,618345
12,Delete,WAVL Tree,Path,922258
