PoolSize,Run,Tree,Insert_ns,Lookup_ns,Erase_ns
10000,1,RB Tree,118,87,52
10000,1,WAVL Tree,122,79,60
10000,2,RB Tree,109,81,47
10000,2,WAVL Tree,121,79,61
10000,3,RB Tree,106,79,47
10000,3,WAVL Tree,122,80,61
10000,4,RB Tree,108,80,47
10000,4,WAVL Tree,122,80,60
10000,5,RB Tree,109,79,47
10000,5,WAVL Tree,123,80,61
10000,6,RB Tree,107,80,47
10000,6,WAVL Tree,124,80,61
10000,7,RB Tree,109,80,48
10000,7,WAVL Tree,123,80,61
10000,8,RB Tree,108,80,48
10000,8,WAVL Tree,121,79,60
10000,9,RB Tree,110,80,48
10000,9,WAVL Tree,124,80,60
10000,10,RB Tree,108,80,47
10000,10,WAVL Tree,125,80,61
10000,11,RB Tree,109,80,47
10000,11,WAVL Tree,123,80,60
10000,12,RB Tree,109,80,47
10000,12,WAVL Tree,124,80,61
10000,13,RB Tree,108,80,47
10000,13,WAVL Tree,123,80,61
10000,14,RB Tree,109,80,48
10000,14,WAVL Tree,123,81,60
10000,15,RB Tree,109,81,48
10000,15,WAVL Tree,123,82,61
10000,16,RB Tree,108,80,48
10000,16,WAVL Tree,124,81,60
10000,17,RB Tree,109,81,47
10000,17,WAVL Tree,126,81,60
10000,18,RB Tree,109,80,48
10000,18,WAVL Tree,123,81,61
10000,19,RB Tree,108,80,47
10000,19,WAVL Tree,123,81,61
10000,20,RB Tree,111,82,48
10000,20,WAVL Tree,123,80,61
50000,1,RB Tree,164,118,52
50000,1,WAVL Tree,176,117,65
50000,2,RB Tree,160,116,52
50000,2,WAVL Tree,175,117,65
50000,3,RB Tree,160,117,51
50000,3,WAVL Tree,176,117,64
50000,4,RB Tree,160,116,53
50000,4,WAVL Tree,175,117,65
50000,5,RB Tree,160,116,52
50000,5,WAVL Tree,176,117,64
50000,6,RB Tree,160,116,52
50000,6,WAVL Tree,176,117,65
50000,7,RB Tree,160,116,52
50000,7,WAVL Tree,178,117,66
50000,8,RB Tree,161,118,52
50000,8,WAVL Tree,175,116,65
50000,9,RB Tree,160,116,52
50000,9,WAVL Tree,176,117,65
50000,10,RB Tree,159,116,53
50000,10,WAVL Tree,176,117,65
50000,11,RB Tree,161,116,52
50000,11,WAVL Tree,176,118,65
50000,12,RB Tree,159,117,52
50000,12,WAVL Tree,175,117,64
50000,13,RB Tree,160,116,51
50000,13,WAVL Tree,176,116,65
50000,14,RB Tree,159,116,52
50000,14,WAVL Tree,175,116,64
50000,15,RB Tree,160,116,51
50000,15,WAVL Tree,176,117,64
50000,16,RB Tree,159,115,51
50000,16,WAVL Tree,175,116,65
50000,17,RB Tree,160,117,52
50000,17,WAVL Tree,176,117,65
50000,18,RB Tree,159,116,53
50000,18,WAVL Tree,176,116,64
50000,19,RB Tree,160,116,51
