Mode,N,D,Phase,RB_Latency_ns,WAVL_Latency_ns
seq,10000,1,Insert,63,75
seq,30000,1,Insert,65,71
seq,50000,1,Insert,68,72
seq,70000,1,Insert,69,72
seq,90000,1,Insert,70,73
seq,110000,1,Insert,70,73
seq,130000,1,Insert,69,74
seq,150000,1,Insert,72,74
seq,170000,1,Insert,70,74
seq,190000,1,Insert,71,74
seq,210000,1,Insert,71,74
seq,230000,1,Insert,71,75
seq,250000,1,Insert,72,74
seq,270000,1,Insert,72,76
seq,290000,1,Insert,72,75
seq,310000,1,Insert,73,75
seq,330000,1,Insert,73,75
seq,350000,1,Insert,75,75
seq,370000,1,Insert,74,76
seq,390000,1,Insert,73,75
seq,410000,1,Insert,73,76
seq,430000,1,Insert,73,75
seq,450000,1,Insert,73,75
seq,470000,1,Insert,74,77
seq,490000,1,Insert,76,76
seq,510000,1,Insert,74,76
seq,530000,1,Insert,75,77
seq,550000,1,Insert,76,75
seq,570000,1,Insert,74,76
seq,590000,1,Insert,76,76
seq,610000,1,Insert,76,76
seq,630000,1,Insert,77,76
seq,650000,1,Insert,75,76
seq,670000,1,Insert,76,76
seq,690000,1,Insert,77,76
seq,710000,1,Insert,75,76
seq,730000,1,Insert,74,76
seq,750000,1,Insert,75,76
seq,770000,1,Insert,74,76
seq,790000,1,Insert,77,76
seq,810000,1,Insert,77,76
seq,830000,1,Insert,75,76
seq,850000,1,Insert,75,76
seq,870000,1,Insert,75,76
seq,890000,1,Insert,75,76
seq,910000,1,Insert,78,76
seq,930000,1,Insert,75,76
seq,950000,1,Insert,79,78
seq,970000,1,Insert,75,76
seq,990000,1,Insert,76,76
reverse,10000,1,Insert,62,71
reverse,30000,1,Insert,66,71
reverse,50000,1,Insert,69,73
reverse,70000,1,Insert,68,73
reverse,90000,1,Insert,68,75
reverse,110000,1,Insert,69,75
reverse,130000,1,Insert,69,74
reverse,150000,1,Insert,70,75
reverse,170000,1,Insert,70,75
reverse,190000,1,Insert,71,75
reverse,210000,1,Insert,70,75
reverse,230000,1,Insert,71,75
reverse,250000,1,Insert,71,77
reverse,270000,1,Insert,71,76
reverse,290000,1,Insert,71,75
reverse,310000,1,Insert,75,81
reverse,330000,1,Insert,72,76
reverse,350000,1,Insert,72,76
reverse,370000,1,Insert,72,76
reverse,390000,1,Insert,72,77
reverse,410000,1,Insert,72,77
reverse,430000,1,Insert,73,77
reverse,450000,1,Insert,73,77
reverse,470000,1,Insert,73,77
reverse,490000,1,Insert,73,77
reverse,510000,1,Insert,73,77
reverse,530000,1,Insert,75,77
reverse,550000,1,Insert,76,77
reverse,570000,1,Insert,76,77
reverse,590000,1,Insert,75,77
reverse,610000,1,Insert,76,77
reverse,630000,1,Insert,76,77
reverse,650000,1,Insert,76,77
reverse,670000,1,Insert,77,77
reverse,690000,1,Insert,76,77
reverse,710000,1,Insert,76,78
reverse,730000,1,Insert,76,78
reverse,750000,1,Insert,76,77
reverse,770000,1,Insert,76,77
reverse,790000,1,Insert,78,77
reverse,810000,1,Insert,76,78
reverse,830000,1,Insert,76,78
reverse,850000,1,Insert,77,78
reverse,870000,1,Insert,78,78
reverse,890000,1,Insert,78,78
reverse,910000,1,Insert,77,78
reverse,930000,1,Insert,77,78
reverse,950000,1,Insert,78,78
reverse,970000,1,Insert,77,78
reverse,990000,1,Insert,77,78
seq_rev,10000,1,Insert,63,69
seq_rev,30000,1,Insert,65,72
seq_rev,50000,1,Insert,68,71
seq_rev,70000,1,Insert,69,72
seq_rev,90000,1,Insert,69,73
seq_rev,110000,1,Insert,70,73
seq_rev,130000,1,Insert,69,73
seq_rev,150000,1,Insert,71,74
seq_rev,170000,1,Insert,70,74
seq_rev,190000,1,Insert,72,74
seq_rev,210000,1,Insert,71,76
seq_rev,230000,1,Insert,72,74
seq_rev,250000,1,Insert,71,75
seq_rev,270000,1,Insert,74,74
seq_rev,290000,1,Insert,72,74
seq_rev,310000,1,Insert,72,75
seq_rev,330000,1,Insert,73,75
seq_rev,350000,1,Insert,73,75
seq_rev,370000,1,Insert,73,75
seq_rev,390000,1,Insert,72,75
seq_rev,410000,1,Insert,72,75
seq_rev,430000,1,Insert,72,76
seq_rev,450000,1,Insert,73,75
seq_rev,470000,1,Insert,74,75
seq_rev,490000,1,Insert,76,75
seq_rev,510000,1,Insert,76,76
seq_rev,530000,1,Insert,74,75
seq_rev,550000,1,Insert,76,75
seq_rev,570000,1,Insert,76,75
seq_rev,590000,1,Insert,74,76
seq_rev,610000,1,Insert,76,76
seq_rev,630000,1,Insert,74,76
seq_rev,650000,1,Insert,77,76
seq_rev,670000,1,Insert,75,76
seq_rev,690000,1,Insert,74,76
seq_rev,710000,1,Insert,74,76
seq_rev,730000,1,Insert,77,76
seq_rev,750000,1,Insert,75,76
seq_rev,770000,1,Insert,75,76
seq_rev,790000,1,Insert,78,78
seq_rev,810000,1,Insert,75,76
seq_rev,830000,1,Insert,76,76
seq_rev,850000,1,Insert,75,76
seq_rev,870000,1,Insert,75,76
seq_rev,890000,1,Insert,75,76
seq_rev,910000,1,Insert,75,76
seq_rev,930000,1,Insert,75,76
seq_rev,950000,1,Insert,75,77
seq_rev,970000,1,Insert,76,76
seq_rev,990000,1,Insert,75,76
rev_seq,10000,1,Insert,64,70
rev_seq,30000,1,Insert,66,72
rev_seq,50000,1,Insert,69,73
rev_seq,70000,1,Insert,68,74
rev_seq,90000,1,Insert,68,74
rev_seq,110000,1,Insert,69,74
rev_seq,130000,1,Insert,69,74
rev_seq,150000,1,Insert,71,80
rev_seq,170000,1,Insert,74,82
rev_seq,190000,1,Insert,71,76
rev_seq,210000,1,Insert,71,75
rev_seq,230000,1,Insert,71,75
rev_seq,250000,1,Insert,71,75
rev_seq,270000,1,Insert,71,76
rev_seq,290000,1,Insert,71,76
rev_seq,310000,1,Insert,72,76
rev_seq,330000,1,Insert,72,76
rev_seq,350000,1,Insert,72,76
rev_seq,370000,1,Insert,72,77
rev_seq,390000,1,Insert,72,76
rev_seq,410000,1,Insert,72,76
rev_seq,430000,1,Insert,72,77
rev_seq,450000,1,Insert,73,77
rev_seq,470000,1,Insert,73,77
rev_seq,490000,1,Insert,73,77
rev_seq,510000,1,Insert,73,77
rev_seq,530000,1,Insert,75,77
rev_seq,550000,1,Insert,76,77
rev_seq,570000,1,Insert,77,78
rev_seq,590000,1,Insert,75,77
rev_seq,610000,1,Insert,76,77
rev_seq,630000,1,Insert,76,78
rev_seq,650000,1,Insert,77,77
rev_seq,670000,1,Insert,77,77
rev_seq,690000,1,Insert,77,77
rev_seq,710000,1,Insert,76,77
rev_seq,730000,1,Insert,76,77
rev_seq,750000,1,Insert,76,78
rev_seq,770000,1,Insert,77,78
rev_seq,790000,1,Insert,76,78
rev_seq,810000,1,Insert,76,78
rev_seq,830000,1,Insert,76,78
rev_seq,850000,1,Insert,78,80
rev_seq,870000,1,Insert,77,78
rev_seq,890000,1,Insert,77,78
rev_seq,910000,1,Insert,78,78
rev_seq,930000,1,Insert,78,78
rev_seq,950000,1,Insert,78,78
rev_seq,970000,1,Insert,78,78
rev_seq,990000,1,Insert,77,78
seq,1000000,10000,Lookup,43,42
seq,1000000,10000,Delete,49,57
seq,1000000,10000,Traversal,27147714,26668346
seq,1000000,30000,Lookup,43,42
seq,1000000,30000,Delete,49,57
seq,1000000,30000,Traversal,26445393,26314655
seq,1000000,50000,Lookup,43,41
seq,1000000,50000,Delete,48,58
seq,1000000,50000,Traversal,25853932,25631801
seq,1000000,70000,Lookup,43,41
seq,1000000,70000,Delete,48,58
seq,1000000,70000,Traversal,25356961,25156822
seq,1000000,90000,Lookup,43,42
seq,1000000,90000,Delete,48,57
seq,1000000,90000,Traversal,24648248,24317982
seq,1000000,110000,Lookup,43,41
seq,1000000,110000,Delete,48,58
seq,1000000,110000,Traversal,24332690,24171354
seq,1000000,130000,Lookup,43,41
seq,1000000,130000,Delete,49,59
seq,1000000,130000,Traversal,23389473,23520421
seq,1000000,150000,Lookup,43,41
seq,1000000,150000,Delete,48,58
seq,1000000,150000,Traversal,23022589,22894686
seq,1000000,170000,Lookup,43,41
seq,1000000,170000,Delete,49,59
seq,1000000,170000,Traversal,22597753,22318575
seq,1000000,190000,Lookup,43,41
seq,1000000,190000,Delete,49,59
seq,1000000,190000,Traversal,22226891,21937193
seq,1000000,210000,Lookup,43,41
seq,1000000,210000,Delete,49,59
seq,1000000,210000,Traversal,21300966,21195527
seq,1000000,230000,Lookup,43,41
seq,1000000,230000,Delete,49,59
seq,1000000,230000,Traversal,21116527,20838550
seq,1000000,250000,Lookup,43,42
seq,1000000,250000,Delete,49,58
seq,1000000,250000,Traversal,20257730,19946791
seq,1000000,270000,Lookup,43,41
seq,1000000,270000,Delete,49,58
seq,1000000,270000,Traversal,20027003,19882831
seq,1000000,290000,Lookup,43,41
seq,1000000,290000,Delete,48,59
seq,1000000,290000,Traversal,19366763,18989688
seq,1000000,310000,Lookup,43,41
seq,1000000,310000,Delete,49,59
seq,1000000,310000,Traversal,18986982,18602715
seq,1000000,330000,Lookup,43,41
seq,1000000,330000,Delete,49,59
seq,1000000,330000,Traversal,18286315,17938807
seq,1000000,350000,Lookup,43,40
seq,1000000,350000,Delete,48,58
seq,1000000,350000,Traversal,17866190,17652434
seq,1000000,370000,Lookup,43,41
seq,1000000,370000,Delete,49,58
seq,1000000,370000,Traversal,17289157,16859021
seq,1000000,390000,Lookup,42,41
seq,1000000,390000,Delete,49,59
seq,1000000,390000,Traversal,17092153,16452031
seq,1000000,410000,Lookup,42,40
seq,1000000,410000,Delete,49,59
seq,1000000,410000,Traversal,16161600,14643273
seq,1000000,430000,Lookup,43,41
seq,1000000,430000,Delete,49,59
seq,1000000,430000,Traversal,15767022,15329824
seq,1000000,450000,Lookup,42,40
seq,1000000,450000,Delete,49,58
seq,1000000,450000,Traversal,15270262,14655747
