Ratio,Run,Phase,Tree,Metric,Value_ns
10,1,Insert,RB Tree,Latency,112
10,1,Insert,WAVL Tree,Latency,130
10,1,Lookup,RB Tree,Latency,167
10,1,Lookup,WAVL Tree,Latency,103
10,1,Delete,RB Tree,Latency,58
10,1,Delete,WAVL Tree,Latency,71
10,1,Traversal,RB Tree,Latency,130838
10,1,Traversal,WAVL Tree,Latency,134745
10,2,Insert,RB Tree,Latency,107
10,2,Insert,WAVL Tree,Latency,126
10,2,Lookup,RB Tree,Latency,95
10,2,Lookup,WAVL Tree,Latency,96
10,2,Delete,RB Tree,Latency,54
10,2,Delete,WAVL Tree,Latency,62
10,2,Traversal,RB Tree,Latency,132551
10,2,Traversal,WAVL Tree,Latency,124056
10,3,Insert,RB Tree,Latency,110
10,3,Insert,WAVL Tree,Latency,127
10,3,Lookup,RB Tree,Latency,96
10,3,Lookup,WAVL Tree,Latency,97
10,3,Delete,RB Tree,Latency,55
10,3,Delete,WAVL Tree,Latency,62
10,3,Traversal,RB Tree,Latency,128404
10,3,Traversal,WAVL Tree,Latency,123674
10,4,Insert,RB Tree,Latency,107
10,4,Insert,WAVL Tree,Latency,127
10,4,Lookup,RB Tree,Latency,96
10,4,Lookup,WAVL Tree,Latency,98
10,4,Delete,RB Tree,Latency,54
10,4,Delete,WAVL Tree,Latency,63
10,4,Traversal,RB Tree,Latency,132421
10,4,Traversal,WAVL Tree,Latency,123453
10,5,Insert,RB Tree,Latency,107
10,5,Insert,WAVL Tree,Latency,127
10,5,Lookup,RB Tree,Latency,95
10,5,Lookup,WAVL Tree,Latency,96
10,5,Delete,RB Tree,Latency,54
10,5,Delete,WAVL Tree,Latency,62
10,5,Traversal,RB Tree,Latency,128263
10,5,Traversal,WAVL Tree,Latency,122703
10,6,Insert,RB Tree,Latency,108
10,6,Insert,WAVL Tree,Latency,127
10,6,Lookup,RB Tree,Latency,95
10,6,Lookup,WAVL Tree,Latency,97
10,6,Delete,RB Tree,Latency,55
10,6,Delete,WAVL Tree,Latency,62
10,6,Traversal,RB Tree,Latency,130688
10,6,Traversal,WAVL Tree,Latency,123284
10,7,Insert,RB Tree,Latency,108
10,7,Insert,WAVL Tree,Latency,126
10,7,Lookup,RB Tree,Latency,95
10,7,Lookup,WAVL Tree,Latency,96
10,7,Delete,RB Tree,Latency,54
10,7,Delete,WAVL Tree,Latency,62
10,7,Traversal,RB Tree,Latency,132371
10,7,Traversal,WAVL Tree,Latency,126880
10,8,Insert,RB Tree,Latency,107
10,8,Insert,WAVL Tree,Latency,126
10,8,Lookup,RB Tree,Latency,96
10,8,Lookup,WAVL Tree,Latency,97
10,8,Delete,RB Tree,Latency,54
10,8,Delete,WAVL Tree,Latency,62
10,8,Traversal,RB Tree,Latency,126019
10,8,Traversal,WAVL Tree,Latency,122583
10,9,Insert,RB Tree,Latency,108
10,9,Insert,WAVL Tree,Latency,126
10,9,Lookup,RB Tree,Latency,96
10,9,Lookup,WAVL Tree,Latency,100
10,9,Delete,RB Tree,Latency,54
10,9,Delete,WAVL Tree,Latency,61
10,9,Traversal,RB Tree,Latency,129265
10,9,Traversal,WAVL Tree,Latency,124406
10,10,Insert,RB Tree,Latency,108
10,10,Insert,WAVL Tree,Latency,126
10,10,Lookup,RB Tree,Latency,95
10,10,Lookup,WAVL Tree,Latency,96
10,10,Delete,RB Tree,Latency,53
10,10,Delete,WAVL Tree,Latency,61
10,10,Traversal,RB Tree,Latency,126850
10,10,Traversal,WAVL Tree,Latency,123494
10,11,Insert,RB Tree,Latency,113
10,11,Insert,WAVL Tree,Latency,131
10,11,Lookup,RB Tree,Latency,97
10,11,Lookup,WAVL Tree,Latency,106
10,11,Delete,RB Tree,Latency,54
10,11,Delete,WAVL Tree,Latency,66
10,11,Traversal,RB Tree,Latency,130878
10,11,Traversal,WAVL Tree,Latency,124967
10,12,Insert,RB Tree,Latency,107
10,12,Insert,WAVL Tree,Latency,126
10,12,Lookup,RB Tree,Latency,95
10,12,Lookup,WAVL Tree,Latency,97
10,12,Delete,RB Tree,Latency,54
10,12,Delete,WAVL Tree,Latency,63
10,12,Traversal,RB Tree,Latency,127191
10,12,Traversal,WAVL Tree,Latency,123905
10,13,Insert,RB Tree,Latency,109
10,13,Insert,WAVL Tree,Latency,127
10,13,Lookup,RB Tree,Latency,96
10,13,Lookup,WAVL Tree,Latency,98
10,13,Delete,RB Tree,Latency,54
10,13,Delete,WAVL Tree,Latency,65
10,13,Traversal,RB Tree,Latency,128494
10,13,Traversal,WAVL Tree,Latency,124596
10,14,Insert,RB Tree,Latency,107
10,14,Insert,WAVL Tree,Latency,126
10,14,Lookup,RB Tree,Latency,94
10,14,Lookup,WAVL Tree,Latency,96
10,14,Delete,RB Tree,Latency,54
10,14,Delete,WAVL Tree,Latency,62
10,14,Traversal,RB Tree,Latency,133363
10,14,Traversal,WAVL Tree,Latency,124176
10,15,Insert,RB Tree,Latency,109
10,15,Insert,WAVL Tree,Latency,127
10,15,Lookup,RB Tree,Latency,95
10,15,Lookup,WAVL Tree,Latency,97
10,15,Delete,RB Tree,Latency,54
10,15,Delete,WAVL Tree,Latency,62
10,15,Traversal,RB Tree,Latency,126941
10,15,Traversal,WAVL Tree,Latency,133884
10,16,Insert,RB Tree,Latency,108
10,16,Insert,WAVL Tree,Latency,127
10,16,Lookup,RB Tree,Latency,94
10,16,Lookup,WAVL Tree,Latency,95
10,16,Delete,RB Tree,Latency,53
10,16,Delete,WAVL Tree,Latency,62
10,16,Traversal,RB Tree,Latency,127131
10,16,Traversal,WAVL Tree,Latency,129505
10,17,Insert,RB Tree,Latency,108
10,17,Insert,WAVL Tree,Latency,127
10,17,Lookup,RB Tree,Latency,97
10,17,Lookup,WAVL Tree,Latency,98
10,17,Delete,RB Tree,Latency,56
10,17,Delete,WAVL Tree,Latency,63
10,17,Traversal,RB Tree,Latency,126369
10,17,Traversal,WAVL Tree,Latency,122271
10,18,Insert,RB Tree,Latency,111
10,18,Insert,WAVL Tree,Latency,127
10,18,Lookup,RB Tree,Latency,96
10,18,Lookup,WAVL Tree,Latency,96
10,18,Delete,RB Tree,Latency,54
10,18,Delete,WAVL Tree,Latency,62
10,18,Traversal,RB Tree,Latency,127302
