PoolSize,Run,Phase,Tree,Metric,Value_ns
10000,1,Mixed,RB Tree,Latency,134
10000,1,Mixed,WAVL Tree,Latency,145
10000,2,Mixed,RB Tree,Latency,130
10000,2,Mixed,WAVL Tree,Latency,144
10000,3,Mixed,RB Tree,Latency,134
10000,3,Mixed,WAVL Tree,Latency,143
10000,4,Mixed,RB Tree,Latency,130
10000,4,Mixed,WAVL Tree,Latency,143
10000,5,Mixed,RB Tree,Latency,130
10000,5,Mixed,WAVL Tree,Latency,144
10000,6,Mixed,RB Tree,Latency,130
10000,6,Mixed,WAVL Tree,Latency,145
10000,7,Mixed,RB Tree,Latency,130
10000,7,Mixed,WAVL Tree,Latency,144
10000,8,Mixed,RB Tree,Latency,130
10000,8,Mixed,WAVL Tree,Latency,143
10000,9,Mixed,RB Tree,Latency,130
10000,9,Mixed,WAVL Tree,Latency,145
10000,10,Mixed,RB Tree,Latency,130
10000,10,Mixed,WAVL Tree,Latency,145
10000,11,Mixed,RB Tree,Latency,130
10000,11,Mixed,WAVL Tree,Latency,144
10000,12,Mixed,RB Tree,Latency,130
10000,12,Mixed,WAVL Tree,Latency,144
10000,13,Mixed,RB Tree,Latency,131
10000,13,Mixed,WAVL Tree,Latency,143
10000,14,Mixed,RB Tree,Latency,132
10000,14,Mixed,WAVL Tree,Latency,143
10000,15,Mixed,RB Tree,Latency,130
10000,15,Mixed,WAVL Tree,Latency,144
10000,16,Mixed,RB Tree,Latency,134
10000,16,Mixed,WAVL Tree,Latency,143
10000,17,Mixed,RB Tree,Latency,134
10000,17,Mixed,WAVL Tree,Latency,144
10000,18,Mixed,RB Tree,Latency,133
10000,18,Mixed,WAVL Tree,Latency,143
10000,19,Mixed,RB Tree,Latency,130
10000,19,Mixed,WAVL Tree,Latency,144
10000,20,Mixed,RB Tree,Latency,130
10000,20,Mixed,WAVL Tree,Latency,144
50000,1,Mixed,RB Tree,Latency,187
50000,1,Mixed,WAVL Tree,Latency,195
50000,2,Mixed,RB Tree,Latency,183
50000,2,Mixed,WAVL Tree,Latency,194
50000,3,Mixed,RB Tree,Latency,184
50000,3,Mixed,WAVL Tree,Latency,195
50000,4,Mixed,RB Tree,Latency,186
50000,4,Mixed,WAVL Tree,Latency,197
50000,5,Mixed,RB Tree,Latency,184
50000,5,Mixed,WAVL Tree,Latency,197
50000,6,Mixed,RB Tree,Latency,184
50000,6,Mixed,WAVL Tree,Latency,196
50000,7,Mixed,RB Tree,Latency,188
50000,7,Mixed,WAVL Tree,Latency,197
50000,8,Mixed,RB Tree,Latency,184
50000,8,Mixed,WAVL Tree,Latency,197
50000,9,Mixed,RB Tree,Latency,189
50000,9,Mixed,WAVL Tree,Latency,198
50000,10,Mixed,RB Tree,Latency,190
50000,10,Mixed,WAVL Tree,Latency,200
50000,11,Mixed,RB Tree,Latency,188
50000,11,Mixed,WAVL Tree,Latency,202
50000,12,Mixed,RB Tree,Latency,188
50000,12,Mixed,WAVL Tree,Latency,202
50000,13,Mixed,RB Tree,Latency,189
50000,13,Mixed,WAVL Tree,Latency,200
50000,14,Mixed,RB Tree,Latency,188
50000,14,Mixed,WAVL Tree,Latency,201
50000,15,Mixed,RB Tree,Latency,188
50000,15,Mixed,WAVL Tree,Latency,201
50000,16,Mixed,RB Tree,Latency,190
