Mode,N,D,Phase,RB_Latency_ns,WAVL_Latency_ns
seq,10000,1,Insert,990,1021
seq,30000,1,Insert,1021,1039
seq,50000,1,Insert,1030,1044
seq,70000,1,Insert,1025,1048
seq,90000,1,Insert,1029,1044
seq,110000,1,Insert,1026,1046
seq,130000,1,Insert,1029,1046
seq,150000,1,Insert,1024,1046
seq,170000,1,Insert,1030,1045
seq,190000,1,Insert,1028,1045
seq,210000,1,Insert,1030,1047
seq,230000,1,Insert,1038,1048
seq,250000,1,Insert,1032,1046
seq,270000,1,Insert,1043,1048
seq,290000,1,Insert,1032,1048
seq,310000,1,Insert,1033,1049
seq,330000,1,Insert,1033,1048
seq,350000,1,Insert,1024,1039
seq,370000,1,Insert,1034,1048
seq,390000,1,Insert,1035,1048
seq,410000,1,Insert,1034,1048
seq,430000,1,Insert,1034,1047
seq,450000,1,Insert,1036,1048
seq,470000,1,Insert,1041,1048
seq,490000,1,Insert,1035,1048
seq,510000,1,Insert,1035,1048
seq,530000,1,Insert,1036,1048
seq,550000,1,Insert,1036,1049
seq,570000,1,Insert,1033,1049
seq,590000,1,Insert,1033,1046
seq,610000,1,Insert,1036,1049
seq,630000,1,Insert,1036,1048
seq,650000,1,Insert,1036,1049
seq,670000,1,Insert,1036,1049
seq,690000,1,Insert,1030,1048
seq,710000,1,Insert,1036,1049
seq,730000,1,Insert,1034,1049
seq,750000,1,Insert,1035,1049
seq,770000,1,Insert,1032,1046
seq,790000,1,Insert,1040,1048
seq,810000,1,Insert,1039,1049
seq,830000,1,Insert,1036,1049
seq,850000,1,Insert,1035,1049
seq,870000,1,Insert,1037,1049
seq,890000,1,Insert,1036,1049
seq,910000,1,Insert,1036,1048
seq,930000,1,Insert,1036,1047
seq,950000,1,Insert,1039,1049
seq,970000,1,Insert,1038,1049
seq,990000,1,Insert,1037,1048
reverse,10000,1,Insert,1005,1039
reverse,30000,1,Insert,1009,1041
reverse,50000,1,Insert,1006,1041
reverse,70000,1,Insert,1008,1042
reverse,90000,1,Insert,1020,1043
reverse,110000,1,Insert,1018,1047
reverse,130000,1,Insert,1013,1041
reverse,150000,1,Insert,1014,1045
reverse,170000,1,Insert,1016,1043
reverse,190000,1,Insert,1016,1044
reverse,210000,1,Insert,1013,1041
reverse,230000,1,Insert,1017,1046
reverse,250000,1,Insert,1015,1047
reverse,270000,1,Insert,1013,1045
reverse,290000,1,Insert,1012,1036
reverse,310000,1,Insert,1018,1044
reverse,330000,1,Insert,1016,1045
reverse,350000,1,Insert,1015,1045
reverse,370000,1,Insert,1016,1046
reverse,390000,1,Insert,1016,1046
reverse,410000,1,Insert,1017,1046
reverse,430000,1,Insert,1015,1045
reverse,450000,1,Insert,1023,1046
reverse,470000,1,Insert,1017,1046
reverse,490000,1,Insert,1019,1047
reverse,510000,1,Insert,1020,1046
reverse,530000,1,Insert,1020,1045
reverse,550000,1,Insert,1018,1044
reverse,570000,1,Insert,1019,1046
reverse,590000,1,Insert,1018,1046
reverse,610000,1,Insert,1019,1047
reverse,630000,1,Insert,1018,1045
reverse,650000,1,Insert,1019,1047
reverse,670000,1,Insert,1018,1047
reverse,690000,1,Insert,1020,1048
reverse,710000,1,Insert,1019,1047
reverse,730000,1,Insert,1021,1047
reverse,750000,1,Insert,1018,1044
reverse,770000,1,Insert,1020,1048
reverse,790000,1,Insert,1020,1047
reverse,810000,1,Insert,1016,1041
reverse,830000,1,Insert,1021,1047
reverse,850000,1,Insert,1022,1048
reverse,870000,1,Insert,1021,1047
reverse,890000,1,Insert,1020,1048
reverse,910000,1,Insert,1018,1044
reverse,930000,1,Insert,1018,1044
reverse,950000,1,Insert,1021,1046
reverse,970000,1,Insert,1021,1048
reverse,990000,1,Insert,1019,1047
seq_rev,10000,1,Insert,1025,1026
seq_rev,30000,1,Insert,1024,1040
seq_rev,50000,1,Insert,1030,1044
seq_rev,70000,1,Insert,1027,1047
seq_rev,90000,1,Insert,1030,1050
seq_rev,110000,1,Insert,1025,1047
seq_rev,130000,1,Insert,1027,1042
seq_rev,150000,1,Insert,1029,1048
seq_rev,170000,1,Insert,1030,1046
seq_rev,190000,1,Insert,1033,1047
seq_rev,210000,1,Insert,1030,1045
seq_rev,230000,1,Insert,1031,1047
seq_rev,250000,1,Insert,1032,1047
seq_rev,270000,1,Insert,1024,1037
seq_rev,290000,1,Insert,1034,1048
seq_rev,310000,1,Insert,1032,1047
seq_rev,330000,1,Insert,1032,1048
seq_rev,350000,1,Insert,1031,1048
seq_rev,370000,1,Insert,1031,1047
seq_rev,390000,1,Insert,1036,1048
seq_rev,410000,1,Insert,1032,1048
seq_rev,430000,1,Insert,1034,1048
seq_rev,450000,1,Insert,1034,1048
seq_rev,470000,1,Insert,1035,1049
seq_rev,490000,1,Insert,1035,1048
seq_rev,510000,1,Insert,1038,1048
seq_rev,530000,1,Insert,1034,1048
seq_rev,550000,1,Insert,1033,1045
seq_rev,570000,1,Insert,1036,1049
seq_rev,590000,1,Insert,1034,1049
seq_rev,610000,1,Insert,1036,1049
seq_rev,630000,1,Insert,1034,1048
seq_rev,650000,1,Insert,1035,1049
seq_rev,670000,1,Insert,1035,1049
seq_rev,690000,1,Insert,1037,1049
seq_rev,710000,1,Insert,1035,1049
seq_rev,730000,1,Insert,1035,1047
seq_rev,750000,1,Insert,1038,1049
seq_rev,770000,1,Insert,1029,1047
seq_rev,790000,1,Insert,1039,1049
seq_rev,810000,1,Insert,1036,1049
seq_rev,830000,1,Insert,1037,1049
seq_rev,850000,1,Insert,1035,1049
seq_rev,870000,1,Insert,1036,1049
seq_rev,890000,1,Insert,1037,1049
seq_rev,910000,1,Insert,1039,1049
seq_rev,930000,1,Insert,1036,1047
seq_rev,950000,1,Insert,1036,1048
seq_rev,970000,1,Insert,1037,1049
seq_rev,990000,1,Insert,1040,1049
rev_seq,10000,1,Insert,985,1018
rev_seq,30000,1,Insert,1006,1040
rev_seq,50000,1,Insert,1012,1044
rev_seq,70000,1,Insert,1018,1043
rev_seq,90000,1,Insert,1013,1045
rev_seq,110000,1,Insert,1014,1044
rev_seq,130000,1,Insert,1008,1040
rev_seq,150000,1,Insert,1020,1044
rev_seq,170000,1,Insert,1014,1041
rev_seq,190000,1,Insert,1010,1041
rev_seq,210000,1,Insert,1017,1048
rev_seq,230000,1,Insert,1012,1041
rev_seq,250000,1,Insert,1016,1046
rev_seq,270000,1,Insert,1016,1045
rev_seq,290000,1,Insert,1011,1037
rev_seq,310000,1,Insert,1018,1045
rev_seq,330000,1,Insert,1018,1047
rev_seq,350000,1,Insert,1018,1045
rev_seq,370000,1,Insert,1017,1046
rev_seq,390000,1,Insert,1017,1047
rev_seq,410000,1,Insert,1018,1046
rev_seq,430000,1,Insert,1019,1046
rev_seq,450000,1,Insert,1019,1047
rev_seq,470000,1,Insert,1019,1046
rev_seq,490000,1,Insert,1024,1047
rev_seq,510000,1,Insert,1019,1048
rev_seq,530000,1,Insert,1018,1045
rev_seq,550000,1,Insert,1017,1045
rev_seq,570000,1,Insert,1019,1046
rev_seq,590000,1,Insert,1024,1047
rev_seq,610000,1,Insert,1021,1046
rev_seq,630000,1,Insert,1021,1047
rev_seq,650000,1,Insert,1020,1046
rev_seq,670000,1,Insert,1020,1047
rev_seq,690000,1,Insert,1017,1047
rev_seq,710000,1,Insert,1020,1046
rev_seq,730000,1,Insert,1019,1046
rev_seq,750000,1,Insert,1015,1044
rev_seq,770000,1,Insert,1019,1047
rev_seq,790000,1,Insert,1021,1047
rev_seq,810000,1,Insert,1018,1046
rev_seq,830000,1,Insert,1019,1047
rev_seq,850000,1,Insert,1019,1047
rev_seq,870000,1,Insert,1024,1048
rev_seq,890000,1,Insert,1020,1046
rev_seq,910000,1,Insert,1016,1045
