Ratio,Run,Phase,Tree,Metric,Value_ns
10,1,Insert,RB Tree,Latency,1000
10,1,Insert,WAVL Tree,Latency,1041
10,1,Lookup,RB Tree,Latency,1006
10,1,Lookup,WAVL Tree,Latency,1029
10,1,Delete,RB Tree,Latency,1003
10,1,Delete,WAVL Tree,Latency,1010
10,1,Traversal,RB Tree,Latency,75628532
10,1,Traversal,WAVL Tree,Latency,76288030
10,2,Insert,RB Tree,Latency,1006
10,2,Insert,WAVL Tree,Latency,1046
10,2,Lookup,RB Tree,Latency,1006
10,2,Lookup,WAVL Tree,Latency,1032
10,2,Delete,RB Tree,Latency,1007
10,2,Delete,WAVL Tree,Latency,1007
10,2,Traversal,RB Tree,Latency,71889044
10,2,Traversal,WAVL Tree,Latency,71526784
10,3,Insert,RB Tree,Latency,1003
10,3,Insert,WAVL Tree,Latency,1042
10,3,Lookup,RB Tree,Latency,1006
10,3,Lookup,WAVL Tree,Latency,1027
10,3,Delete,RB Tree,Latency,1007
10,3,Delete,WAVL Tree,Latency,1011
10,3,Traversal,RB Tree,Latency,75973173
10,3,Traversal,WAVL Tree,Latency,77259140
10,4,Insert,RB Tree,Latency,1002
10,4,Insert,WAVL Tree,Latency,1043
10,4,Lookup,RB Tree,Latency,1006
10,4,Lookup,WAVL Tree,Latency,1026
10,4,Delete,RB Tree,Latency,1006
10,4,Delete,WAVL Tree,Latency,1012
10,4,Traversal,RB Tree,Latency,73353599
10,4,Traversal,WAVL Tree,Latency,72863949
10,5,Insert,RB Tree,Latency,1007
10,5,Insert,WAVL Tree,Latency,1045
10,5,Lookup,RB Tree,Latency,1008
10,5,Lookup,WAVL Tree,Latency,1028
10,5,Delete,RB Tree,Latency,1009
10,5,Delete,WAVL Tree,Latency,1014
10,5,Traversal,RB Tree,Latency,72766715
10,5,Traversal,WAVL Tree,Latency,73278366
10,6,Insert,RB Tree,Latency,1007
10,6,Insert,WAVL Tree,Latency,1044
10,6,Lookup,RB Tree,Latency,1009
10,6,Lookup,WAVL Tree,Latency,1029
10,6,Delete,RB Tree,Latency,1007
10,6,Delete,WAVL Tree,Latency,1016
10,6,Traversal,RB Tree,Latency,73386985
10,6,Traversal,WAVL Tree,Latency,72527249
10,7,Insert,RB Tree,Latency,1006
10,7,Insert,WAVL Tree,Latency,1045
10,7,Lookup,RB Tree,Latency,1011
10,7,Lookup,WAVL Tree,Latency,1026
10,7,Delete,RB Tree,Latency,1009
10,7,Delete,WAVL Tree,Latency,1014
10,7,Traversal,RB Tree,Latency,73367013
10,7,Traversal,WAVL Tree,Latency,73013969
10,8,Insert,RB Tree,Latency,1004
10,8,Insert,WAVL Tree,Latency,1044
10,8,Lookup,RB Tree,Latency,1006
10,8,Lookup,WAVL Tree,Latency,1026
10,8,Delete,RB Tree,Latency,1008
10,8,Delete,WAVL Tree,Latency,1012
10,8,Traversal,RB Tree,Latency,71951272
10,8,Traversal,WAVL Tree,Latency,71333741
10,9,Insert,RB Tree,Latency,1001
10,9,Insert,WAVL Tree,Latency,1042
10,9,Lookup,RB Tree,Latency,1006
10,9,Lookup,WAVL Tree,Latency,1028
10,9,Delete,RB Tree,Latency,1007
10,9,Delete,WAVL Tree,Latency,1010
10,9,Traversal,RB Tree,Latency,76107466
10,9,Traversal,WAVL Tree,Latency,77049477
10,10,Insert,RB Tree,Latency,1002
10,10,Insert,WAVL Tree,Latency,1044
10,10,Lookup,RB Tree,Latency,1004
10,10,Lookup,WAVL Tree,Latency,1025
10,10,Delete,RB Tree,Latency,1009
10,10,Delete,WAVL Tree,Latency,1012
10,10,Traversal,RB Tree,Latency,72255026
10,10,Traversal,WAVL Tree,Latency,74099803
10,11,Insert,RB Tree,Latency,1003
10,11,Insert,WAVL Tree,Latency,1043
10,11,Lookup,RB Tree,Latency,1008
10,11,Lookup,WAVL Tree,Latency,1030
10,11,Delete,RB Tree,Latency,1008
10,11,Delete,WAVL Tree,Latency,1014
10,11,Traversal,RB Tree,Latency,72736053
10,11,Traversal,WAVL Tree,Latency,72754143
10,12,Insert,RB Tree,Latency,1001
10,12,Insert,WAVL Tree,Latency,1042
10,12,Lookup,RB Tree,Latency,1006
10,12,Lookup,WAVL Tree,Latency,1029
10,12,Delete,RB Tree,Latency,1007
10,12,Delete,WAVL Tree,Latency,1011
10,12,Traversal,RB Tree,Latency,73473737
10,12,Traversal,WAVL Tree,Latency,72948884
10,13,Insert,RB Tree,Latency,1001
10,13,Insert,WAVL Tree,Latency,1046
10,13,Lookup,RB Tree,Latency,1006
10,13,Lookup,WAVL Tree,Latency,1030
10,13,Delete,RB Tree,Latency,1009
10,13,Delete,WAVL Tree,Latency,1012
10,13,Traversal,RB Tree,Latency,71805616
10,13,Traversal,WAVL Tree,Latency,71648124
10,14,Insert,RB Tree,Latency,1003
10,14,Insert,WAVL Tree,Latency,1042
10,14,Lookup,RB Tree,Latency,1009
10,14,Lookup,WAVL Tree,Latency,1027
10,14,Delete,RB Tree,Latency,1008
10,14,Delete,WAVL Tree,Latency,1010
10,14,Traversal,RB Tree,Latency,73505487
10,14,Traversal,WAVL Tree,Latency,72827542
10,15,Insert,RB Tree,Latency,1000
10,15,Insert,WAVL Tree,Latency,1041
10,15,Lookup,RB Tree,Latency,1004
10,15,Lookup,WAVL Tree,Latency,1029
10,15,Delete,RB Tree,Latency,1007
10,15,Delete,WAVL Tree,Latency,1009
10,15,Traversal,RB Tree,Latency,72436169
10,15,Traversal,WAVL Tree,Latency,74145383
10,16,Insert,RB Tree,Latency,1001
10,16,Insert,WAVL Tree,Latency,1042
10,16,Lookup,RB Tree,Latency,1006
10,16,Lookup,WAVL Tree,Latency,1031
10,16,Delete,RB Tree,Latency,1006
10,16,Delete,WAVL Tree,Latency,1008
10,16,Traversal,RB Tree,Latency,72147111
10,16,Traversal,WAVL Tree,Latency,74892624
10,17,Insert,RB Tree,Latency,1004
10,17,Insert,WAVL Tree,Latency,1049
10,17,Lookup,RB Tree,Latency,1007
10,17,Lookup,WAVL Tree,Latency,1031
10,17,Delete,RB Tree,Latency,1007
10,17,Delete,WAVL Tree,Latency,1014
10,17,Traversal,RB Tree,Latency,73161348
10,17,Traversal,WAVL Tree,Latency,72827021
10,18,Insert,RB Tree,Latency,1001
10,18,Insert,WAVL Tree,Latency,1044
10,18,Lookup,RB Tree,Latency,1008
10,18,Lookup,WAVL Tree,Latency,1026
10,18,Delete,RB Tree,Latency,1009
10,18,Delete,WAVL Tree,Latency,1012
10,18,Traversal,RB Tree,Latency,73394345
10,18,Traversal,WAVL Tree,Latency,72774089
10,19,Insert,RB Tree,Latency,1001
10,19,Insert,WAVL Tree,Latency,1041
10,19,Lookup,RB Tree,Latency,1004
10,19,Lookup,WAVL Tree,Latency,1027
10,19,Delete,RB Tree,Latency,1009
10,19,Delete,WAVL Tree,Latency,1011
10,19,Traversal,RB Tree,Latency,75898916
10,19,Traversal,WAVL Tree,Latency,76978655
10,20,Insert,RB Tree,Latency,1001
10,20,Insert,WAVL Tree,Latency,1041
10,20,Lookup,RB Tree,Latency,1007
10,20,Lookup,WAVL Tree,Latency,1027
10,20,Delete,RB Tree,Latency,1009
10,20,Delete,WAVL Tree,Latency,1013
10,20,Traversal,RB Tree,Latency,71740178
10,20,Traversal,WAVL Tree,Latency,71077528
10,21,Insert,RB Tree,Latency,1001
10,21,Insert,WAVL Tree,Latency,1042
10,21,Lookup,RB Tree,Latency,1006
10,21,Lookup,WAVL Tree,Latency,1029
10,21,Delete,RB Tree,Latency,1005
10,21,Delete,WAVL Tree,Latency,1009
10,21,Traversal,RB Tree,Latency,75856183
10,21,Traversal,WAVL Tree,Latency,77101306
10,22,Insert,RB Tree,Latency,1002
10,22,Insert,WAVL Tree,Latency,1043
10,22,Lookup,RB Tree,Latency,1006
10,22,Lookup,WAVL Tree,Latency,1034
10,22,Delete,RB Tree,Latency,1002
10,22,Delete,WAVL Tree,Latency,1006
10,22,Traversal,RB Tree,Latency,73249795
