Ratio,Run,Phase,Tree,Metric,Value
10,1,Insert,RB Tree,Rotations,5886
10,1,Insert,WAVL Tree,Rotations,7066
10,1,Insert,RB Tree,Path,10198
10,1,Insert,WAVL Tree,Path,17948
10,1,Delete,RB Tree,Rotations,306
10,1,Delete,WAVL Tree,Rotations,316
10,1,Delete,RB Tree,Path,285
10,1,Delete,WAVL Tree,Path,310
10,2,Insert,RB Tree,Rotations,5839
10,2,Insert,WAVL Tree,Rotations,6956
10,2,Insert,RB Tree,Path,10344
10,2,Insert,WAVL Tree,Path,17767
10,2,Delete,RB Tree,Rotations,356
10,2,Delete,WAVL Tree,Rotations,309
10,2,Delete,RB Tree,Path,314
10,2,Delete,WAVL Tree,Path,278
10,3,Insert,RB Tree,Rotations,5896
10,3,Insert,WAVL Tree,Rotations,7071
10,3,Insert,RB Tree,Path,10208
10,3,Insert,WAVL Tree,Path,17819
10,3,Delete,RB Tree,Rotations,336
10,3,Delete,WAVL Tree,Rotations,306
10,3,Delete,RB Tree,Path,305
10,3,Delete,WAVL Tree,Path,308
10,4,Insert,RB Tree,Rotations,5920
10,4,Insert,WAVL Tree,Rotations,7096
10,4,Insert,RB Tree,Path,10212
10,4,Insert,WAVL Tree,Path,17900
10,4,Delete,RB Tree,Rotations,313
10,4,Delete,WAVL Tree,Rotations,286
10,4,Delete,RB Tree,Path,284
10,4,Delete,WAVL Tree,Path,294
10,5,Insert,RB Tree,Rotations,5846
10,5,Insert,WAVL Tree,Rotations,7006
10,5,Insert,RB Tree,Path,10284
10,5,Insert,WAVL Tree,Path,17832
10,5,Delete,RB Tree,Rotations,348
10,5,Delete,WAVL Tree,Rotations,309
10,5,Delete,RB Tree,Path,312
10,5,Delete,WAVL Tree,Path,288
10,6,Insert,RB Tree,Rotations,5902
10,6,Insert,WAVL Tree,Rotations,6966
10,6,Insert,RB Tree,Path,10200
10,6,Insert,WAVL Tree,Path,17783
10,6,Delete,RB Tree,Rotations,290
10,6,Delete,WAVL Tree,Rotations,281
10,6,Delete,RB Tree,Path,280
10,6,Delete,WAVL Tree,Path,298
10,7,Insert,RB Tree,Rotations,5805
10,7,Insert,WAVL Tree,Rotations,7053
10,7,Insert,RB Tree,Path,10176
10,7,Insert,WAVL Tree,Path,17825
10,7,Delete,RB Tree,Rotations,342
10,7,Delete,WAVL Tree,Rotations,313
10,7,Delete,RB Tree,Path,306
10,7,Delete,WAVL Tree,Path,286
10,8,Insert,RB Tree,Rotations,5922
10,8,Insert,WAVL Tree,Rotations,7077
10,8,Insert,RB Tree,Path,10228
10,8,Insert,WAVL Tree,Path,17868
10,8,Delete,RB Tree,Rotations,269
10,8,Delete,WAVL Tree,Rotations,256
10,8,Delete,RB Tree,Path,263
10,8,Delete,WAVL Tree,Path,303
10,9,Insert,RB Tree,Rotations,5896
10,9,Insert,WAVL Tree,Rotations,6980
10,9,Insert,RB Tree,Path,10234
10,9,Insert,WAVL Tree,Path,17842
10,9,Delete,RB Tree,Rotations,325
10,9,Delete,WAVL Tree,Rotations,315
10,9,Delete,RB Tree,Path,315
10,9,Delete,WAVL Tree,Path,299
10,10,Insert,RB Tree,Rotations,5934
10,10,Insert,WAVL Tree,Rotations,7012
10,10,Insert,RB Tree,Path,10256
10,10,Insert,WAVL Tree,Path,17825
10,10,Delete,RB Tree,Rotations,326
10,10,Delete,WAVL Tree,Rotations,309
10,10,Delete,RB Tree,Path,303
10,10,Delete,WAVL Tree,Path,262
10,11,Insert,RB Tree,Rotations,5797
10,11,Insert,WAVL Tree,Rotations,7027
10,11,Insert,RB Tree,Path,10314
10,11,Insert,WAVL Tree,Path,17769
10,11,Delete,RB Tree,Rotations,332
10,11,Delete,WAVL Tree,Rotations,296
10,11,Delete,RB Tree,Path,302
10,11,Delete,WAVL Tree,Path,284
10,12,Insert,RB Tree,Rotations,5749
10,12,Insert,WAVL Tree,Rotations,6779
10,12,Insert,RB Tree,Path,10274
10,12,Insert,WAVL Tree,Path,17800
