PoolSize,Run,Tree,Metric,Value
10000,1,RB Tree,L1 Misses,1062792
10000,1,RB Tree,Branch Misses,2010404
10000,1,WAVL Tree,L1 Misses,1069816
10000,1,WAVL Tree,Branch Misses,2183637
10000,2,RB Tree,L1 Misses,1062181
10000,2,RB Tree,Branch Misses,2008825
10000,2,WAVL Tree,L1 Misses,1069040
10000,2,WAVL Tree,Branch Misses,2183795
10000,3,RB Tree,L1 Misses,1067371
10000,3,RB Tree,Branch Misses,2011459
10000,3,WAVL Tree,L1 Misses,1075592
10000,3,WAVL Tree,Branch Misses,2187283
10000,4,RB Tree,L1 Misses,1065996
10000,4,RB Tree,Branch Misses,2011612
10000,4,WAVL Tree,L1 Misses,1071216
10000,4,WAVL Tree,Branch Misses,2179370
10000,5,RB Tree,L1 Misses,1061347
10000,5,RB Tree,Branch Misses,2009799
10000,5,WAVL Tree,L1 Misses,1072724
10000,5,WAVL Tree,Branch Misses,2182362
10000,6,RB Tree,L1 Misses,1065980
10000,6,RB Tree,Branch Misses,2014888
10000,6,WAVL Tree,L1 Misses,1077466
10000,6,WAVL Tree,Branch Misses,2186002
10000,7,RB Tree,L1 Misses,1075622
10000,7,RB Tree,Branch Misses,2010692
10000,7,WAVL Tree,L1 Misses,1083793
10000,7,WAVL Tree,Branch Misses,2183270
10000,8,RB Tree,L1 Misses,1081482
10000,8,RB Tree,Branch Misses,2011606
10000,8,WAVL Tree,L1 Misses,1078905
10000,8,WAVL Tree,Branch Misses,2181021
10000,9,RB Tree,L1 Misses,1065527
10000,9,RB Tree,Branch Misses,2007798
10000,9,WAVL Tree,L1 Misses,1079216
10000,9,WAVL Tree,Branch Misses,2179447
10000,10,RB Tree,L1 Misses,1071052
10000,10,RB Tree,Branch Misses,2010004
10000,10,WAVL Tree,L1 Misses,1075576
10000,10,WAVL Tree,Branch Misses,2183316
10000,11,RB Tree,L1 Misses,1068890
10000,11,RB Tree,Branch Misses,2008286
10000,11,WAVL Tree,L1 Misses,1075352
10000,11,WAVL Tree,Branch Misses,2181646
10000,12,RB Tree,L1 Misses,1068174
10000,12,RB Tree,Branch Misses,2014377
10000,12,WAVL Tree,L1 Misses,1091998
10000,12,WAVL Tree,Branch Misses,2185923
10000,13,RB Tree,L1 Misses,1072487
10000,13,RB Tree,Branch Misses,2006900
10000,13,WAVL Tree,L1 Misses,1082095
10000,13,WAVL Tree,Branch Misses,2184776
10000,14,RB Tree,L1 Misses,1069036
10000,14,RB Tree,Branch Misses,2014018
10000,14,WAVL Tree,L1 Misses,1072601
10000,14,WAVL Tree,Branch Misses,2189294
10000,15,RB Tree,L1 Misses,1062674
10000,15,RB Tree,Branch Misses,2009255
10000,15,WAVL Tree,L1 Misses,1086394
10000,15,WAVL Tree,Branch Misses,2187716
10000,16,RB Tree,L1 Misses,1062235
10000,16,RB Tree,Branch Misses,2009664
10000,16,WAVL Tree,L1 Misses,1079736
10000,16,WAVL Tree,Branch Misses,2182832
10000,17,RB Tree,L1 Misses,1062921
10000,17,RB Tree,Branch Misses,2008375
10000,17,WAVL Tree,L1 Misses,1095342
10000,17,WAVL Tree,Branch Misses,2186257
10000,18,RB Tree,L1 Misses,1060713
10000,18,RB Tree,Branch Misses,2014703
10000,18,WAVL Tree,L1 Misses,1079736
10000,18,WAVL Tree,Branch Misses,2180757
10000,19,RB Tree,L1 Misses,1069244
10000,19,RB Tree,Branch Misses,2010974
10000,19,WAVL Tree,L1 Misses,1071334
10000,19,WAVL Tree,Branch Misses,2194978
10000,20,RB Tree,L1 Misses,1067505
10000,20,RB Tree,Branch Misses,2009817
10000,20,WAVL Tree,L1 Misses,1084281
10000,20,WAVL Tree,Branch Misses,2185591
50000,1,RB Tree,L1 Misses,1850781
50000,1,RB Tree,Branch Misses,2571070
50000,1,WAVL Tree,L1 Misses,1873854
50000,1,WAVL Tree,Branch Misses,2792722
50000,2,RB Tree,L1 Misses,1848826
50000,2,RB Tree,Branch Misses,2576348
50000,2,WAVL Tree,L1 Misses,1866971
50000,2,WAVL Tree,Branch Misses,2791856
50000,3,RB Tree,L1 Misses,1849808
