Mode,Ratio,Run,Tree,Metric,Value
seq,10,1,RB Tree,L1 Misses,2772400
seq,10,1,RB Tree,LLC Misses,
seq,10,1,RB Tree,Branch Misses,18462104
seq,10,1,WAVL Tree,L1 Misses,2702791
seq,10,1,WAVL Tree,Branch Misses,21426274
seq,10,2,RB Tree,L1 Misses,2762693
seq,10,2,RB Tree,LLC Misses,
seq,10,2,RB Tree,Branch Misses,18442646
seq,10,2,WAVL Tree,L1 Misses,2699814
seq,10,2,WAVL Tree,Branch Misses,21492220
seq,10,3,RB Tree,L1 Misses,2745479
seq,10,3,RB Tree,LLC Misses,
seq,10,3,RB Tree,Branch Misses,18361090
seq,10,3,WAVL Tree,L1 Misses,2683032
seq,10,3,WAVL Tree,Branch Misses,21454098
seq,10,4,RB Tree,L1 Misses,2879540
seq,10,4,RB Tree,LLC Misses,
seq,10,4,RB Tree,Branch Misses,18594038
seq,10,4,WAVL Tree,L1 Misses,2678904
seq,10,4,WAVL Tree,Branch Misses,21481810
seq,10,5,RB Tree,L1 Misses,2815657
seq,10,5,RB Tree,LLC Misses,
seq,10,5,RB Tree,Branch Misses,18591175
seq,10,5,WAVL Tree,L1 Misses,2791633
seq,10,5,WAVL Tree,Branch Misses,21487710
seq,10,6,RB Tree,L1 Misses,2796656
seq,10,6,RB Tree,LLC Misses,
seq,10,6,RB Tree,Branch Misses,18585223
seq,10,6,WAVL Tree,L1 Misses,2675676
seq,10,6,WAVL Tree,Branch Misses,21478510
seq,10,7,RB Tree,L1 Misses,2805488
seq,10,7,RB Tree,LLC Misses,
seq,10,7,RB Tree,Branch Misses,18576798
seq,10,7,WAVL Tree,L1 Misses,2718961
seq,10,7,WAVL Tree,Branch Misses,21480206
seq,10,8,RB Tree,L1 Misses,2826602
seq,10,8,RB Tree,LLC Misses,
seq,10,8,RB Tree,Branch Misses,18338662
seq,10,8,WAVL Tree,L1 Misses,2707388
seq,10,8,WAVL Tree,Branch Misses,21459567
seq,10,9,RB Tree,L1 Misses,3411524
seq,10,9,RB Tree,LLC Misses,
seq,10,9,RB Tree,Branch Misses,18600475
seq,10,9,WAVL Tree,L1 Misses,2692848
seq,10,9,WAVL Tree,Branch Misses,21471614
seq,10,10,RB Tree,L1 Misses,2820208
seq,10,10,RB Tree,LLC Misses,
seq,10,10,RB Tree,Branch Misses,18426482
seq,10,10,WAVL Tree,L1 Misses,2714013
seq,10,10,WAVL Tree,Branch Misses,21501665
seq,10,11,RB Tree,L1 Misses,2796484
seq,10,11,RB Tree,LLC Misses,
seq,10,11,RB Tree,Branch Misses,18394511
seq,10,11,WAVL Tree,L1 Misses,2694994
seq,10,11,WAVL Tree,Branch Misses,21454056
seq,10,12,RB Tree,L1 Misses,2826012
seq,10,12,RB Tree,LLC Misses,
seq,10,12,RB Tree,Branch Misses,18584499
seq,10,12,WAVL Tree,L1 Misses,2700895
seq,10,12,WAVL Tree,Branch Misses,21495040
seq,10,13,RB Tree,L1 Misses,2923558
seq,10,13,RB Tree,LLC Misses,
seq,10,13,RB Tree,Branch Misses,18603928
seq,10,13,WAVL Tree,L1 Misses,2718452
seq,10,13,WAVL Tree,Branch Misses,21455466
seq,10,14,RB Tree,L1 Misses,2825650
seq,10,14,RB Tree,LLC Misses,
seq,10,14,RB Tree,Branch Misses,18587072
seq,10,14,WAVL Tree,L1 Misses,2772771
seq,10,14,WAVL Tree,Branch Misses,21480734
seq,10,15,RB Tree,L1 Misses,2827466
seq,10,15,RB Tree,LLC Misses,
seq,10,15,RB Tree,Branch Misses,18605267
seq,10,15,WAVL Tree,L1 Misses,2808567
seq,10,15,WAVL Tree,Branch Misses,21482245
seq,10,16,RB Tree,L1 Misses,2773725
seq,10,16,RB Tree,LLC Misses,
seq,10,16,RB Tree,Branch Misses,18589030
seq,10,16,WAVL Tree,L1 Misses,2721546
seq,10,16,WAVL Tree,Branch Misses,21469308
seq,10,17,RB Tree,L1 Misses,2796829
seq,10,17,RB Tree,LLC Misses,
seq,10,17,RB Tree,Branch Misses,18369790
seq,10,17,WAVL Tree,L1 Misses,2715975
seq,10,17,WAVL Tree,Branch Misses,21472934
seq,10,18,RB Tree,L1 Misses,2795308
seq,10,18,RB Tree,LLC Misses,
seq,10,18,RB Tree,Branch Misses,18576604
seq,10,18,WAVL Tree,L1 Misses,2739415
seq,10,18,WAVL Tree,Branch Misses,21489120
seq,10,19,RB Tree,L1 Misses,2799668
seq,10,19,RB Tree,LLC Misses,
seq,10,19,RB Tree,Branch Misses,18370314
seq,10,19,WAVL Tree,L1 Misses,2702965
seq,10,19,WAVL Tree,Branch Misses,21468670
seq,10,20,RB Tree,L1 Misses,2839810
seq,10,20,RB Tree,LLC Misses,
seq,10,20,RB Tree,Branch Misses,18402224
seq,10,20,WAVL Tree,L1 Misses,2702777
seq,10,20,WAVL Tree,Branch Misses,21466128
seq,20,1,RB Tree,L1 Misses,2779757
seq,20,1,RB Tree,LLC Misses,
seq,20,1,RB Tree,Branch Misses,19691835
seq,20,1,WAVL Tree,L1 Misses,2676148
seq,20,1,WAVL Tree,Branch Misses,22775292
seq,20,2,RB Tree,L1 Misses,2818182
seq,20,2,RB Tree,LLC Misses,
seq,20,2,RB Tree,Branch Misses,19710251
seq,20,2,WAVL Tree,L1 Misses,2687342
seq,20,2,WAVL Tree,Branch Misses,22756900
seq,20,3,RB Tree,L1 Misses,3066967
seq,20,3,RB Tree,LLC Misses,
seq,20,3,RB Tree,Branch Misses,19507967
seq,20,3,WAVL Tree,L1 Misses,2685870
seq,20,3,WAVL Tree,Branch Misses,22783310
seq,20,4,RB Tree,L1 Misses,2795205
seq,20,4,RB Tree,LLC Misses,
seq,20,4,RB Tree,Branch Misses,19481688
seq,20,4,WAVL Tree,L1 Misses,2699834
seq,20,4,WAVL Tree,Branch Misses,22788158
seq,20,5,RB Tree,L1 Misses,2824716
seq,20,5,RB Tree,LLC Misses,
seq,20,5,RB Tree,Branch Misses,19718789
seq,20,5,WAVL Tree,L1 Misses,2704538
seq,20,5,WAVL Tree,Branch Misses,22754356
seq,20,6,RB Tree,L1 Misses,2785520
seq,20,6,RB Tree,LLC Misses,
seq,20,6,RB Tree,Branch Misses,19528961
seq,20,6,WAVL Tree,L1 Misses,2674333
seq,20,6,WAVL Tree,Branch Misses,22747564
seq,20,7,RB Tree,L1 Misses,2765327
seq,20,7,RB Tree,LLC Misses,
seq,20,7,RB Tree,Branch Misses,19494715
seq,20,7,WAVL Tree,L1 Misses,2679554
seq,20,7,WAVL Tree,Branch Misses,22769070
seq,20,8,RB Tree,L1 Misses,2791696
seq,20,8,RB Tree,LLC Misses,
seq,20,8,RB Tree,Branch Misses,19522062
seq,20,8,WAVL Tree,L1 Misses,2695909
seq,20,8,WAVL Tree,Branch Misses,22788287
seq,20,9,RB Tree,L1 Misses,2773464
seq,20,9,RB Tree,LLC Misses,
seq,20,9,RB Tree,Branch Misses,19456318
seq,20,9,WAVL Tree,L1 Misses,2675346
seq,20,9,WAVL Tree,Branch Misses,22776388
seq,20,10,RB Tree,L1 Misses,2768755
seq,20,10,RB Tree,LLC Misses,
seq,20,10,RB Tree,Branch Misses,19693379
seq,20,10,WAVL Tree,L1 Misses,2674472
seq,20,10,WAVL Tree,Branch Misses,22767790
seq,20,11,RB Tree,L1 Misses,2783421
seq,20,11,RB Tree,LLC Misses,
seq,20,11,RB Tree,Branch Misses,19683284
seq,20,11,WAVL Tree,L1 Misses,2678769
seq,20,11,WAVL Tree,Branch Misses,22768185
seq,20,12,RB Tree,L1 Misses,2756476
seq,20,12,RB Tree,LLC Misses,
seq,20,12,RB Tree,Branch Misses,19470339
seq,20,12,WAVL Tree,L1 Misses,2686268
seq,20,12,WAVL Tree,Branch Misses,22752149
seq,20,13,RB Tree,L1 Misses,2779319
seq,20,13,RB Tree,LLC Misses,
seq,20,13,RB Tree,Branch Misses,19723254
seq,20,13,WAVL Tree,L1 Misses,2674585
seq,20,13,WAVL Tree,Branch Misses,22788562
seq,20,14,RB Tree,L1 Misses,2764204
seq,20,14,RB Tree,LLC Misses,
seq,20,14,RB Tree,Branch Misses,19504886
seq,20,14,WAVL Tree,L1 Misses,2726930
seq,20,14,WAVL Tree,Branch Misses,22766477
seq,20,15,RB Tree,L1 Misses,2809994
seq,20,15,RB Tree,LLC Misses,
seq,20,15,RB Tree,Branch Misses,19477972
seq,20,15,WAVL Tree,L1 Misses,2680189
seq,20,15,WAVL Tree,Branch Misses,22756631
seq,20,16,RB Tree,L1 Misses,2825507
seq,20,16,RB Tree,LLC Misses,
seq,20,16,RB Tree,Branch Misses,19674372
seq,20,16,WAVL Tree,L1 Misses,2687652
seq,20,16,WAVL Tree,Branch Misses,22764310
seq,20,17,RB Tree,L1 Misses,2857584
seq,20,17,RB Tree,LLC Misses,
seq,20,17,RB Tree,Branch Misses,19476101
seq,20,17,WAVL Tree,L1 Misses,2726755
seq,20,17,WAVL Tree,Branch Misses,22767590
seq,20,18,RB Tree,L1 Misses,2819911
seq,20,18,RB Tree,LLC Misses,
seq,20,18,RB Tree,Branch Misses,19709384
seq,20,18,WAVL Tree,L1 Misses,2704485
seq,20,18,WAVL Tree,Branch Misses,22765795
seq,20,19,RB Tree,L1 Misses,2794755
seq,20,19,RB Tree,LLC Misses,
seq,20,19,RB Tree,Branch Misses,19715581
seq,20,19,WAVL Tree,L1 Misses,2658757
seq,20,19,WAVL Tree,Branch Misses,22764689
seq,20,20,RB Tree,L1 Misses,2776814
seq,20,20,RB Tree,LLC Misses,
seq,20,20,RB Tree,Branch Misses,19455224
