Ratio,Run,Tree,Metric,Value
10,1,RB Tree,L1 Misses,140084
10,1,RB Tree,Branch Misses,305122
10,1,WAVL Tree,L1 Misses,144564
10,1,WAVL Tree,Branch Misses,324941
10,2,RB Tree,L1 Misses,142046
10,2,RB Tree,Branch Misses,306904
10,2,WAVL Tree,L1 Misses,143591
10,2,WAVL Tree,Branch Misses,325343
10,3,RB Tree,L1 Misses,142852
10,3,RB Tree,Branch Misses,306836
10,3,WAVL Tree,L1 Misses,143745
10,3,WAVL Tree,Branch Misses,325560
10,4,RB Tree,L1 Misses,141910
10,4,RB Tree,Branch Misses,306966
10,4,WAVL Tree,L1 Misses,143080
10,4,WAVL Tree,Branch Misses,324852
10,5,RB Tree,L1 Misses,143310
10,5,RB Tree,Branch Misses,302797
10,5,WAVL Tree,L1 Misses,144930
10,5,WAVL Tree,Branch Misses,325336
10,6,RB Tree,L1 Misses,140507
10,6,RB Tree,Branch Misses,302397
10,6,WAVL Tree,L1 Misses,146775
10,6,WAVL Tree,Branch Misses,326270
10,7,RB Tree,L1 Misses,140941
10,7,RB Tree,Branch Misses,302547
10,7,WAVL Tree,L1 Misses,145592
10,7,WAVL Tree,Branch Misses,328660
10,8,RB Tree,L1 Misses,140501
10,8,RB Tree,Branch Misses,302195
10,8,WAVL Tree,L1 Misses,144801
10,8,WAVL Tree,Branch Misses,328668
10,9,RB Tree,L1 Misses,141094
10,9,RB Tree,Branch Misses,302332
10,9,WAVL Tree,L1 Misses,144552
10,9,WAVL Tree,Branch Misses,329818
10,10,RB Tree,L1 Misses,141784
10,10,RB Tree,Branch Misses,302473
10,10,WAVL Tree,L1 Misses,146682
10,10,WAVL Tree,Branch Misses,325444
10,11,RB Tree,L1 Misses,142268
10,11,RB Tree,Branch Misses,306244
10,11,WAVL Tree,L1 Misses,144730
10,11,WAVL Tree,Branch Misses,325312
10,12,RB Tree,L1 Misses,141406
10,12,RB Tree,Branch Misses,306648
10,12,WAVL Tree,L1 Misses,144641
10,12,WAVL Tree,Branch Misses,325412
10,13,RB Tree,L1 Misses,143209
10,13,RB Tree,Branch Misses,306376
10,13,WAVL Tree,L1 Misses,143748
10,13,WAVL Tree,Branch Misses,325528
10,14,RB Tree,L1 Misses,140033
10,14,RB Tree,Branch Misses,302428
10,14,WAVL Tree,L1 Misses,143488
10,14,WAVL Tree,Branch Misses,325200
10,15,RB Tree,L1 Misses,140270
10,15,RB Tree,Branch Misses,302874
10,15,WAVL Tree,L1 Misses,143969
10,15,WAVL Tree,Branch Misses,327167
10,16,RB Tree,L1 Misses,141656
10,16,RB Tree,Branch Misses,301901
10,16,WAVL Tree,L1 Misses,145888
10,16,WAVL Tree,Branch Misses,326059
10,17,RB Tree,L1 Misses,140201
10,17,RB Tree,Branch Misses,302157
10,17,WAVL Tree,L1 Misses,146089
10,17,WAVL Tree,Branch Misses,329788
10,18,RB Tree,L1 Misses,139913
10,18,RB Tree,Branch Misses,302398
10,18,WAVL Tree,L1 Misses,144484
10,18,WAVL Tree,Branch Misses,328253
