PoolSize,Run,Tree,Metric,Value
10000,1,RB Tree,L1 Misses,976351
10000,1,RB Tree,Branch Misses,1519116
10000,1,WAVL Tree,L1 Misses,1012947
10000,1,WAVL Tree,Branch Misses,1715025
10000,2,RB Tree,L1 Misses,979976
10000,2,RB Tree,Branch Misses,1530032
10000,2,WAVL Tree,L1 Misses,1011048
10000,2,WAVL Tree,Branch Misses,1714143
10000,3,RB Tree,L1 Misses,973699
10000,3,RB Tree,Branch Misses,1528127
10000,3,WAVL Tree,L1 Misses,1006432
10000,3,WAVL Tree,Branch Misses,1708398
10000,4,RB Tree,L1 Misses,987352
10000,4,RB Tree,Branch Misses,1525420
10000,4,WAVL Tree,L1 Misses,1018651
10000,4,WAVL Tree,Branch Misses,1713945
10000,5,RB Tree,L1 Misses,980036
10000,5,RB Tree,Branch Misses,1532979
10000,5,WAVL Tree,L1 Misses,1026831
10000,5,WAVL Tree,Branch Misses,1712669
10000,6,RB Tree,L1 Misses,981888
10000,6,RB Tree,Branch Misses,1527574
10000,6,WAVL Tree,L1 Misses,1021173
10000,6,WAVL Tree,Branch Misses,1713627
10000,7,RB Tree,L1 Misses,969464
10000,7,RB Tree,Branch Misses,1523652
10000,7,WAVL Tree,L1 Misses,1003876
10000,7,WAVL Tree,Branch Misses,1715435
10000,8,RB Tree,L1 Misses,980312
10000,8,RB Tree,Branch Misses,1522192
10000,8,WAVL Tree,L1 Misses,1006059
10000,8,WAVL Tree,Branch Misses,1712783
10000,9,RB Tree,L1 Misses,981910
10000,9,RB Tree,Branch Misses,1533123
10000,9,WAVL Tree,L1 Misses,1018283
10000,9,WAVL Tree,Branch Misses,1714614
10000,10,RB Tree,L1 Misses,986110
10000,10,RB Tree,Branch Misses,1532853
10000,10,WAVL Tree,L1 Misses,1006483
10000,10,WAVL Tree,Branch Misses,1707312
10000,11,RB Tree,L1 Misses,980085
10000,11,RB Tree,Branch Misses,1526583
10000,11,WAVL Tree,L1 Misses,1007844
10000,11,WAVL Tree,Branch Misses,1712271
10000,12,RB Tree,L1 Misses,1001294
10000,12,RB Tree,Branch Misses,1521832
10000,12,WAVL Tree,L1 Misses,1001072
10000,12,WAVL Tree,Branch Misses,1712952
10000,13,RB Tree,L1 Misses,980873
10000,13,RB Tree,Branch Misses,1522727
10000,13,WAVL Tree,L1 Misses,1011138
10000,13,WAVL Tree,Branch Misses,1712160
10000,14,RB Tree,L1 Misses,995450
10000,14,RB Tree,Branch Misses,1525822
10000,14,WAVL Tree,L1 Misses,1008506
10000,14,WAVL Tree,Branch Misses,1704697
10000,15,RB Tree,L1 Misses,975804
10000,15,RB Tree,Branch Misses,1520422
10000,15,WAVL Tree,L1 Misses,1003946
10000,15,WAVL Tree,Branch Misses,1710225
10000,16,RB Tree,L1 Misses,984754
10000,16,RB Tree,Branch Misses,1528957
10000,16,WAVL Tree,L1 Misses,1013813
10000,16,WAVL Tree,Branch Misses,1704675
10000,17,RB Tree,L1 Misses,971636
10000,17,RB Tree,Branch Misses,1527851
10000,17,WAVL Tree,L1 Misses,1000780
10000,17,WAVL Tree,Branch Misses,1712642
10000,18,RB Tree,L1 Misses,975727
10000,18,RB Tree,Branch Misses,1530459
10000,18,WAVL Tree,L1 Misses,1015605
10000,18,WAVL Tree,Branch Misses,1712609
10000,19,RB Tree,L1 Misses,975558
10000,19,RB Tree,Branch Misses,1528852
10000,19,WAVL Tree,L1 Misses,1008827
10000,19,WAVL Tree,Branch Misses,1714893
10000,20,RB Tree,L1 Misses,1030154
10000,20,RB Tree,Branch Misses,1529370
10000,20,WAVL Tree,L1 Misses,1009204
10000,20,WAVL Tree,Branch Misses,1708516
50000,1,RB Tree,L1 Misses,1606287
50000,1,RB Tree,Branch Misses,2068025
50000,1,WAVL Tree,L1 Misses,1656989
50000,1,WAVL Tree,Branch Misses,2299743
50000,2,RB Tree,L1 Misses,1625317
50000,2,RB Tree,Branch Misses,2072103
50000,2,WAVL Tree,L1 Misses,1649466
50000,2,WAVL Tree,Branch Misses,2309271
50000,3,RB Tree,L1 Misses,1603509
50000,3,RB Tree,Branch Misses,2076996
50000,3,WAVL Tree,L1 Misses,1634234
50000,3,WAVL Tree,Branch Misses,2304964
50000,4,RB Tree,L1 Misses,1601670
50000,4,RB Tree,Branch Misses,2073975
50000,4,WAVL Tree,L1 Misses,1648432
50000,4,WAVL Tree,Branch Misses,2302040
50000,5,RB Tree,L1 Misses,1605431
50000,5,RB Tree,Branch Misses,2076408
50000,5,WAVL Tree,L1 Misses,1652784
50000,5,WAVL Tree,Branch Misses,2300307
50000,6,RB Tree,L1 Misses,1611212
50000,6,RB Tree,Branch Misses,2073879
50000,6,WAVL Tree,L1 Misses,1619934
50000,6,WAVL Tree,Branch Misses,2301666
50000,7,RB Tree,L1 Misses,1613907
50000,7,RB Tree,Branch Misses,2074303
50000,7,WAVL Tree,L1 Misses,1644610
50000,7,WAVL Tree,Branch Misses,2303250
50000,8,RB Tree,L1 Misses,1591965
50000,8,RB Tree,Branch Misses,2072316
50000,8,WAVL Tree,L1 Misses,1634602
50000,8,WAVL Tree,Branch Misses,2301279
50000,9,RB Tree,L1 Misses,1605178
50000,9,RB Tree,Branch Misses,2068334
50000,9,WAVL Tree,L1 Misses,1625599
50000,9,WAVL Tree,Branch Misses,2301857
50000,10,RB Tree,L1 Misses,1601928
50000,10,RB Tree,Branch Misses,2074690
50000,10,WAVL Tree,L1 Misses,1638257
50000,10,WAVL Tree,Branch Misses,2303787
50000,11,RB Tree,L1 Misses,1593872
50000,11,RB Tree,Branch Misses,2071200
50000,11,WAVL Tree,L1 Misses,1649714
50000,11,WAVL Tree,Branch Misses,2299333
50000,12,RB Tree,L1 Misses,1590064
50000,12,RB Tree,Branch Misses,2074645
50000,12,WAVL Tree,L1 Misses,1656555
50000,12,WAVL Tree,Branch Misses,2303076
50000,13,RB Tree,L1 Misses,1583957
50000,13,RB Tree,Branch Misses,2075182
50000,13,WAVL Tree,L1 Misses,1652626
50000,13,WAVL Tree,Branch Misses,2302762
50000,14,RB Tree,L1 Misses,1602486
50000,14,RB Tree,Branch Misses,2076358
50000,14,WAVL Tree,L1 Misses,1647132
50000,14,WAVL Tree,Branch Misses,2303857
50000,15,RB Tree,L1 Misses,1611790
50000,15,RB Tree,Branch Misses,2073968
50000,15,WAVL Tree,L1 Misses,1652943
50000,15,WAVL Tree,Branch Misses,2303278
50000,16,RB Tree,L1 Misses,1603502
50000,16,RB Tree,Branch Misses,2070275
50000,16,WAVL Tree,L1 Misses,1650710
50000,16,WAVL Tree,Branch Misses,2302667
50000,17,RB Tree,L1 Misses,1606765
50000,17,RB Tree,Branch Misses,2075119
50000,17,WAVL Tree,L1 Misses,1648774
50000,17,WAVL Tree,Branch Misses,2303380
50000,18,RB Tree,L1 Misses,1611003
50000,18,RB Tree,Branch Misses,2077927
50000,18,WAVL Tree,L1 Misses,1661545
50000,18,WAVL Tree,Branch Misses,2303896
50000,19,RB Tree,L1 Misses,1594726
50000,19,RB Tree,Branch Misses,2076700
50000,19,WAVL Tree,L1 Misses,1655815
50000,19,WAVL Tree,Branch Misses,2304099
50000,20,RB Tree,L1 Misses,1587941
50000,20,RB Tree,Branch Misses,2072941
50000,20,WAVL Tree,L1 Misses,1649037
50000,20,WAVL Tree,Branch Misses,2301372
100000,1,RB Tree,L1 Misses,2078944
100000,1,RB Tree,Branch Misses,2550050
100000,1,WAVL Tree,L1 Misses,2108029
100000,1,WAVL Tree,Branch Misses,2823086
100000,2,RB Tree,L1 Misses,2049658
100000,2,RB Tree,Branch Misses,2551342
100000,2,WAVL Tree,L1 Misses,2140862
100000,2,WAVL Tree,Branch Misses,2823802
100000,3,RB Tree,L1 Misses,2055943
100000,3,RB Tree,Branch Misses,2550458
100000,3,WAVL Tree,L1 Misses,2123261
100000,3,WAVL Tree,Branch Misses,2821596
100000,4,RB Tree,L1 Misses,2053870
100000,4,RB Tree,Branch Misses,2550011
100000,4,WAVL Tree,L1 Misses,2093348
100000,4,WAVL Tree,Branch Misses,2822030
100000,5,RB Tree,L1 Misses,2082243
100000,5,RB Tree,Branch Misses,2547119
100000,5,WAVL Tree,L1 Misses,2103009
100000,5,WAVL Tree,Branch Misses,2822573
100000,6,RB Tree,L1 Misses,2073050
100000,6,RB Tree,Branch Misses,2550648
100000,6,WAVL Tree,L1 Misses,2113851
100000,6,WAVL Tree,Branch Misses,2821927
100000,7,RB Tree,L1 Misses,2074887
100000,7,RB Tree,Branch Misses,2547342
100000,7,WAVL Tree,L1 Misses,2107989
100000,7,WAVL Tree,Branch Misses,2827156
100000,8,RB Tree,L1 Misses,2058593
100000,8,RB Tree,Branch Misses,2548171
100000,8,WAVL Tree,L1 Misses,2099090
100000,8,WAVL Tree,Branch Misses,2818273
100000,9,RB Tree,L1 Misses,2072028
100000,9,RB Tree,Branch Misses,2553099
100000,9,WAVL Tree,L1 Misses,2104396
100000,9,WAVL Tree,Branch Misses,2821396
100000,10,RB Tree,L1 Misses,2077949
100000,10,RB Tree,Branch Misses,2554181
100000,10,WAVL Tree,L1 Misses,2119511
100000,10,WAVL Tree,Branch Misses,2822030
100000,11,RB Tree,L1 Misses,2066310
100000,11,RB Tree,Branch Misses,2550041
100000,11,WAVL Tree,L1 Misses,2117680
100000,11,WAVL Tree,Branch Misses,2822422
100000,12,RB Tree,L1 Misses,2058352
100000,12,RB Tree,Branch Misses,2551652
100000,12,WAVL Tree,L1 Misses,2120646
100000,12,WAVL Tree,Branch Misses,2823291
100000,13,RB Tree,L1 Misses,2070112
100000,13,RB Tree,Branch Misses,2549455
100000,13,WAVL Tree,L1 Misses,2109317
100000,13,WAVL Tree,Branch Misses,2822747
100000,14,RB Tree,L1 Misses,2057060
100000,14,RB Tree,Branch Misses,2548291
100000,14,WAVL Tree,L1 Misses,2113823
