Mode,Ratio,Run,Tree,Metric,Value
seq,10,1,RB Tree,L1 Misses,3688298
seq,10,1,RB Tree,LLC Misses,
seq,10,1,RB Tree,Branch Misses,18964333
seq,10,1,WAVL Tree,L1 Misses,3377574
seq,10,1,WAVL Tree,LLC Misses,
seq,10,1,WAVL Tree,Branch Misses,22080992
seq,10,2,RB Tree,L1 Misses,3484956
seq,10,2,RB Tree,LLC Misses,
seq,10,2,RB Tree,Branch Misses,18896615
seq,10,2,WAVL Tree,L1 Misses,3323842
seq,10,2,WAVL Tree,LLC Misses,
seq,10,2,WAVL Tree,Branch Misses,22040858
seq,10,3,RB Tree,L1 Misses,3472735
seq,10,3,RB Tree,LLC Misses,
seq,10,3,RB Tree,Branch Misses,18995428
seq,10,3,WAVL Tree,L1 Misses,3313174
seq,10,3,WAVL Tree,LLC Misses,
seq,10,3,WAVL Tree,Branch Misses,22070602
seq,10,4,RB Tree,L1 Misses,3427546
seq,10,4,RB Tree,LLC Misses,
seq,10,4,RB Tree,Branch Misses,18963672
seq,10,4,WAVL Tree,L1 Misses,3280431
seq,10,4,WAVL Tree,LLC Misses,
seq,10,4,WAVL Tree,Branch Misses,22106987
seq,10,5,RB Tree,L1 Misses,5643846
seq,10,5,RB Tree,LLC Misses,
seq,10,5,RB Tree,Branch Misses,18962673
seq,10,5,WAVL Tree,L1 Misses,3298559
seq,10,5,WAVL Tree,LLC Misses,
seq,10,5,WAVL Tree,Branch Misses,22076827
seq,10,6,RB Tree,L1 Misses,3559632
seq,10,6,RB Tree,LLC Misses,
seq,10,6,RB Tree,Branch Misses,19002220
seq,10,6,WAVL Tree,L1 Misses,3361211
seq,10,6,WAVL Tree,LLC Misses,
seq,10,6,WAVL Tree,Branch Misses,22077170
seq,10,7,RB Tree,L1 Misses,3462232
seq,10,7,RB Tree,LLC Misses,
seq,10,7,RB Tree,Branch Misses,18962388
seq,10,7,WAVL Tree,L1 Misses,3292614
seq,10,7,WAVL Tree,LLC Misses,
seq,10,7,WAVL Tree,Branch Misses,22049550
seq,10,8,RB Tree,L1 Misses,3435250
seq,10,8,RB Tree,LLC Misses,
seq,10,8,RB Tree,Branch Misses,18907415
seq,10,8,WAVL Tree,L1 Misses,3331330
seq,10,8,WAVL Tree,LLC Misses,
seq,10,8,WAVL Tree,Branch Misses,22084353
seq,10,9,RB Tree,L1 Misses,3444932
seq,10,9,RB Tree,LLC Misses,
seq,10,9,RB Tree,Branch Misses,18955757
seq,10,9,WAVL Tree,L1 Misses,3286356
seq,10,9,WAVL Tree,LLC Misses,
seq,10,9,WAVL Tree,Branch Misses,22088571
seq,10,10,RB Tree,L1 Misses,3415545
seq,10,10,RB Tree,LLC Misses,
seq,10,10,RB Tree,Branch Misses,18967347
seq,10,10,WAVL Tree,L1 Misses,3292396
seq,10,10,WAVL Tree,LLC Misses,
seq,10,10,WAVL Tree,Branch Misses,22123158
seq,10,11,RB Tree,L1 Misses,3532128
seq,10,11,RB Tree,LLC Misses,
seq,10,11,RB Tree,Branch Misses,18960730
