Ratio,Run,Tree,Metric,Value
10,1,RB Tree,L1 Misses,29167599
10,1,RB Tree,LLC Misses,
10,1,RB Tree,Branch Misses,31674116
10,1,WAVL Tree,L1 Misses,28914599
10,1,WAVL Tree,LLC Misses,
10,1,WAVL Tree,Branch Misses,33934932
10,2,RB Tree,L1 Misses,28338847
10,2,RB Tree,LLC Misses,
10,2,RB Tree,Branch Misses,31647443
10,2,WAVL Tree,L1 Misses,29495830
10,2,WAVL Tree,LLC Misses,
10,2,WAVL Tree,Branch Misses,33909346
10,3,RB Tree,L1 Misses,28606322
10,3,RB Tree,LLC Misses,
10,3,RB Tree,Branch Misses,31674499
10,3,WAVL Tree,L1 Misses,30885122
10,3,WAVL Tree,LLC Misses,
10,3,WAVL Tree,Branch Misses,33927616
10,4,RB Tree,L1 Misses,27673419
10,4,RB Tree,LLC Misses,
10,4,RB Tree,Branch Misses,31663942
10,4,WAVL Tree,L1 Misses,28527702
10,4,WAVL Tree,LLC Misses,
10,4,WAVL Tree,Branch Misses,33897945
10,5,RB Tree,L1 Misses,28247007
10,5,RB Tree,LLC Misses,
10,5,RB Tree,Branch Misses,31676324
10,5,WAVL Tree,L1 Misses,28888597
10,5,WAVL Tree,LLC Misses,
10,5,WAVL Tree,Branch Misses,33923779
10,6,RB Tree,L1 Misses,28528864
10,6,RB Tree,LLC Misses,
10,6,RB Tree,Branch Misses,31674199
10,6,WAVL Tree,L1 Misses,28528853
10,6,WAVL Tree,LLC Misses,
10,6,WAVL Tree,Branch Misses,33946541
10,7,RB Tree,L1 Misses,27775792
10,7,RB Tree,LLC Misses,
10,7,RB Tree,Branch Misses,31692725
10,7,WAVL Tree,L1 Misses,28908857
10,7,WAVL Tree,LLC Misses,
10,7,WAVL Tree,Branch Misses,33912967
10,8,RB Tree,L1 Misses,28098731
10,8,RB Tree,LLC Misses,
10,8,RB Tree,Branch Misses,31666409
10,8,WAVL Tree,L1 Misses,28367273
10,8,WAVL Tree,LLC Misses,
10,8,WAVL Tree,Branch Misses,33914406
10,9,RB Tree,L1 Misses,28348903
10,9,RB Tree,LLC Misses,
10,9,RB Tree,Branch Misses,31658429
10,9,WAVL Tree,L1 Misses,28263711
10,9,WAVL Tree,LLC Misses,
10,9,WAVL Tree,Branch Misses,33925560
10,10,RB Tree,L1 Misses,28522367
10,10,RB Tree,LLC Misses,
10,10,RB Tree,Branch Misses,31676411
10,10,WAVL Tree,L1 Misses,28609017
10,10,WAVL Tree,LLC Misses,
10,10,WAVL Tree,Branch Misses,33898009
10,11,RB Tree,L1 Misses,28702696
10,11,RB Tree,LLC Misses,
10,11,RB Tree,Branch Misses,31677810
10,11,WAVL Tree,L1 Misses,28544936
10,11,WAVL Tree,LLC Misses,
10,11,WAVL Tree,Branch Misses,33948737
10,12,RB Tree,L1 Misses,28458474
10,12,RB Tree,LLC Misses,
10,12,RB Tree,Branch Misses,31673185
10,12,WAVL Tree,L1 Misses,28512614
10,12,WAVL Tree,LLC Misses,
10,12,WAVL Tree,Branch Misses,33918380
10,13,RB Tree,L1 Misses,28435248
10,13,RB Tree,LLC Misses,
10,13,RB Tree,Branch Misses,31660299
10,13,WAVL Tree,L1 Misses,28761713
10,13,WAVL Tree,LLC Misses,
10,13,WAVL Tree,Branch Misses,33916920
10,14,RB Tree,L1 Misses,28387491
10,14,RB Tree,LLC Misses,
10,14,RB Tree,Branch Misses,31650347
10,14,WAVL Tree,L1 Misses,28312996
10,14,WAVL Tree,LLC Misses,
10,14,WAVL Tree,Branch Misses,33897879
10,15,RB Tree,L1 Misses,28549957
10,15,RB Tree,LLC Misses,
10,15,RB Tree,Branch Misses,31685035
10,15,WAVL Tree,L1 Misses,28222662
10,15,WAVL Tree,LLC Misses,
10,15,WAVL Tree,Branch Misses,33904487
10,16,RB Tree,L1 Misses,28573719
10,16,RB Tree,LLC Misses,
10,16,RB Tree,Branch Misses,31679456
10,16,WAVL Tree,L1 Misses,28455564
10,16,WAVL Tree,LLC Misses,
10,16,WAVL Tree,Branch Misses,33927453
10,17,RB Tree,L1 Misses,28277026
10,17,RB Tree,LLC Misses,
10,17,RB Tree,Branch Misses,31673487
10,17,WAVL Tree,L1 Misses,28526923
10,17,WAVL Tree,LLC Misses,
10,17,WAVL Tree,Branch Misses,33940919
10,18,RB Tree,L1 Misses,28067785
10,18,RB Tree,LLC Misses,
10,18,RB Tree,Branch Misses,31688968
10,18,WAVL Tree,L1 Misses,29398323
10,18,WAVL Tree,LLC Misses,
10,18,WAVL Tree,Branch Misses,33929430
10,19,RB Tree,L1 Misses,28406857
10,19,RB Tree,LLC Misses,
10,19,RB Tree,Branch Misses,31681756
10,19,WAVL Tree,L1 Misses,27799163
10,19,WAVL Tree,LLC Misses,
10,19,WAVL Tree,Branch Misses,33950842
10,20,RB Tree,L1 Misses,28203987
10,20,RB Tree,LLC Misses,
10,20,RB Tree,Branch Misses,31643111
10,20,WAVL Tree,L1 Misses,33323713
10,20,WAVL Tree,LLC Misses,
10,20,WAVL Tree,Branch Misses,33920894
10,21,RB Tree,L1 Misses,29122471
10,21,RB Tree,LLC Misses,
10,21,RB Tree,Branch Misses,31705316
10,21,WAVL Tree,L1 Misses,28596468
10,21,WAVL Tree,LLC Misses,
10,21,WAVL Tree,Branch Misses,33932286
10,22,RB Tree,L1 Misses,28391788
10,22,RB Tree,LLC Misses,
10,22,RB Tree,Branch Misses,31675427
