Ratio,Run,Phase,Tree,Metric,Value
10,1,Insert,RB Tree,Rotations,5801
10,1,Insert,WAVL Tree,Rotations,6917
10,1,Insert,RB Tree,Path,10214
10,1,Insert,WAVL Tree,Path,17804
10,1,Delete,RB Tree,Rotations,318
10,1,Delete,WAVL Tree,Rotations,304
10,1,Delete,RB Tree,Path,308
10,1,Delete,WAVL Tree,Path,292
10,2,Insert,RB Tree,Rotations,5828
10,2,Insert,WAVL Tree,Rotations,6984
10,2,Insert,RB Tree,Path,10288
10,2,Insert,WAVL Tree,Path,17903
10,2,Delete,RB Tree,Rotations,322
10,2,Delete,WAVL Tree,Rotations,334
10,2,Delete,RB Tree,Path,309
10,2,Delete,WAVL Tree,Path,278
10,3,Insert,RB Tree,Rotations,5758
10,3,Insert,WAVL Tree,Rotations,6998
10,3,Insert,RB Tree,Path,10310
10,3,Insert,WAVL Tree,Path,17840
10,3,Delete,RB Tree,Rotations,306
10,3,Delete,WAVL Tree,Rotations,276
10,3,Delete,RB Tree,Path,289
10,3,Delete,WAVL Tree,Path,291
10,4,Insert,RB Tree,Rotations,5879
10,4,Insert,WAVL Tree,Rotations,6990
10,4,Insert,RB Tree,Path,10236
10,4,Insert,WAVL Tree,Path,17861
10,4,Delete,RB Tree,Rotations,295
10,4,Delete,WAVL Tree,Rotations,303
10,4,Delete,RB Tree,Path,292
10,4,Delete,WAVL Tree,Path,320
10,5,Insert,RB Tree,Rotations,5745
10,5,Insert,WAVL Tree,Rotations,6899
10,5,Insert,RB Tree,Path,10254
10,5,Insert,WAVL Tree,Path,17804
10,5,Delete,RB Tree,Rotations,319
10,5,Delete,WAVL Tree,Rotations,302
10,5,Delete,RB Tree,Path,287
10,5,Delete,WAVL Tree,Path,289
10,6,Insert,RB Tree,Rotations,5808
10,6,Insert,WAVL Tree,Rotations,6958
10,6,Insert,RB Tree,Path,10162
10,6,Insert,WAVL Tree,Path,17717
10,6,Delete,RB Tree,Rotations,287
10,6,Delete,WAVL Tree,Rotations,287
10,6,Delete,RB Tree,Path,267
10,6,Delete,WAVL Tree,Path,261
10,7,Insert,RB Tree,Rotations,5886
10,7,Insert,WAVL Tree,Rotations,7107
10,7,Insert,RB Tree,Path,10330
10,7,Insert,WAVL Tree,Path,17911
10,7,Delete,RB Tree,Rotations,361
10,7,Delete,WAVL Tree,Rotations,341
10,7,Delete,RB Tree,Path,331
10,7,Delete,WAVL Tree,Path,290
10,8,Insert,RB Tree,Rotations,5810
10,8,Insert,WAVL Tree,Rotations,7018
10,8,Insert,RB Tree,Path,10256
10,8,Insert,WAVL Tree,Path,17881
10,8,Delete,RB Tree,Rotations,308
10,8,Delete,WAVL Tree,Rotations,290
10,8,Delete,RB Tree,Path,290
10,8,Delete,WAVL Tree,Path,280
10,9,Insert,RB Tree,Rotations,5862
10,9,Insert,WAVL Tree,Rotations,7211
10,9,Insert,RB Tree,Path,10250
10,9,Insert,WAVL Tree,Path,17927
10,9,Delete,RB Tree,Rotations,306
10,9,Delete,WAVL Tree,Rotations,299
10,9,Delete,RB Tree,Path,293
10,9,Delete,WAVL Tree,Path,276
10,10,Insert,RB Tree,Rotations,5753
10,10,Insert,WAVL Tree,Rotations,6865
10,10,Insert,RB Tree,Path,10282
10,10,Insert,WAVL Tree,Path,17757
10,10,Delete,RB Tree,Rotations,323
10,10,Delete,WAVL Tree,Rotations,296
10,10,Delete,RB Tree,Path,313
10,10,Delete,WAVL Tree,Path,329
10,11,Insert,RB Tree,Rotations,5962
10,11,Insert,WAVL Tree,Rotations,7035
10,11,Insert,RB Tree,Path,10188
10,11,Insert,WAVL Tree,Path,17786
10,11,Delete,RB Tree,Rotations,335
10,11,Delete,WAVL Tree,Rotations,276
10,11,Delete,RB Tree,Path,295
10,11,Delete,WAVL Tree,Path,288
10,12,Insert,RB Tree,Rotations,5868
10,12,Insert,WAVL Tree,Rotations,6958
10,12,Insert,RB Tree,Path,10194
10,12,Insert,WAVL Tree,Path,17837
10,12,Delete,RB Tree,Rotations,305
10,12,Delete,WAVL Tree,Rotations,310
10,12,Delete,RB Tree,Path,313
10,12,Delete,WAVL Tree,Path,310
10,13,Insert,RB Tree,Rotations,5781
10,13,Insert,WAVL Tree,Rotations,6812
10,13,Insert,RB Tree,Path,10300
10,13,Insert,WAVL Tree,Path,17718
10,13,Delete,RB Tree,Rotations,315
10,13,Delete,WAVL Tree,Rotations,311
10,13,Delete,RB Tree,Path,304
10,13,Delete,WAVL Tree,Path,299
10,14,Insert,RB Tree,Rotations,5861
